,0
0,7.19
1,18.33
2,38.61
3,47.5
4,53.74
5,57.0
6,61.94
7,64.74
8,66.18
9,68.36
10,67.71
11,67.11
12,67.83
13,69.42
14,68.41
15,66.2
16,68.18
17,67.51
18,67.23
19,68.39
20,67.09
21,65.22
22,67.36
23,67.3
24,67.17
25,66.07
26,66.55
27,66.89
28,66.74
29,66.61
30,66.2
31,65.97
32,65.59
33,66.34
34,67.26
35,67.12
36,67.47
37,67.83
38,67.44
39,69.25
40,67.64
41,68.9
42,69.3
43,69.18
44,67.61
45,67.73
46,69.2
47,66.56
48,68.08
49,67.62
50,65.59
51,67.41
52,68.27
53,68.43
54,67.01
55,67.88
56,68.52
57,69.58
58,67.88
59,68.54
60,67.41
61,67.98
62,68.7
63,67.15
64,67.84
65,67.95
66,68.53
67,68.1
68,67.51
69,67.58
70,69.09
71,66.62
72,68.92
73,68.56
74,69.47
75,68.91
76,69.09
77,67.93
78,68.78
79,67.88
80,68.54
81,66.93
82,68.54
83,67.36
84,66.5
85,65.71
86,66.77
87,66.19
88,66.55
89,67.81
90,67.37
91,68.12
92,67.85
93,67.25
94,67.21
95,67.33
96,66.94
97,66.83
98,65.29
99,64.45
100,64.1
101,65.63
102,65.44
103,65.51
104,65.59
105,65.05
106,63.69
107,64.77
108,64.89
109,64.73
110,62.31
111,64.18
112,63.11
113,63.88
114,63.65
115,64.38
116,63.88
117,62.7
118,63.06
119,62.86
120,62.48
121,63.14
122,63.22
123,63.14
124,63.11
125,62.48
126,62.74
127,62.53
128,62.74
129,62.43
130,62.28
131,61.83
132,61.64
133,61.99
134,62.25
135,62.1
136,61.79
137,62.19
138,61.27
139,61.65
140,60.03
141,60.77
142,61.09
143,60.56
144,60.92
145,60.7
146,60.53
147,60.12
148,59.82
149,59.64
150,59.73
151,59.38
152,59.89
153,59.71
154,59.95
155,59.35
156,59.78
157,59.97
158,60.48
159,60.05
160,60.61
161,60.15
162,60.11
163,60.57
164,60.59
165,60.12
166,60.13
167,59.86
168,59.87
169,59.58
170,59.69
171,59.49
172,59.54
173,59.52
174,59.38
175,59.44
176,59.34
177,59.36
178,59.5
179,59.49
180,59.58
181,59.48
182,59.61
183,59.5
184,59.55
185,59.56
186,59.79
187,59.75
188,59.78
189,59.75
190,59.77
191,59.79
192,59.78
193,59.75
194,59.78
195,59.79
196,59.77
197,59.78
198,59.78
199,59.8
200,59.82
201,59.8
202,59.79
203,59.82
204,59.8
205,59.8
206,59.78
207,59.77
208,59.77
209,59.74
210,59.75
211,59.66
212,59.67
213,59.66
214,59.59
215,59.57
216,59.53
217,59.31
218,59.14
219,59.18
220,59.16
221,59.14
222,59.24
223,59.39
224,59.56
225,59.46
226,59.77
227,59.88
228,60.13
229,60.45
230,60.78
231,60.8
232,61.08
233,61.01
234,60.95
235,60.72
236,60.88
237,61.11
238,61.05
239,61.73
240,61.65
241,62.28
242,63.26
243,63.49
244,64.52
245,65.51
246,67.29
247,68.64
248,69.55
249,70.41
250,70.77
251,71.28
252,71.42
253,71.16
254,71.35
255,71.16
256,71.63
257,71.38
258,71.2
259,71.52
260,70.91
261,71.41
262,71.09
263,71.21
264,71.09
265,70.36
266,70.94
267,70.01
268,70.79
269,70.61
270,70.14
271,71.01
272,71.12
273,70.99
274,70.47
275,71.08
276,70.26
277,70.43
278,70.25
279,71.47
280,71.15
281,70.93
282,70.25
283,70.73
284,71.0
285,70.62
286,71.4
287,71.43
288,70.6
289,70.01
290,71.43
291,69.43
292,70.33
293,69.97
294,70.57
295,70.11
296,69.19
297,70.0
298,69.33
299,68.55
300,68.7
301,68.47
302,68.36
303,66.69
304,67.6
305,67.66
306,68.28
307,68.39
308,68.25
309,70.16
310,68.23
311,71.34
312,69.47
313,69.8
314,70.39
315,70.97
316,71.48
317,71.71
318,70.71
319,71.75
320,70.29
321,71.23
322,71.85
323,70.75
324,71.9
325,70.35
326,72.34
327,70.51
328,71.44
329,70.89
330,72.64
331,72.27
332,71.93
333,72.01
334,71.96
335,70.9
336,71.07
337,71.25
338,70.16
339,69.81
340,70.72
341,68.99
342,69.51
343,68.01
344,67.94
345,68.48
346,67.89
347,69.43
348,69.68
349,71.3
350,69.26
351,69.71
352,70.47
353,72.21
354,73.33
355,74.16
356,72.71
357,73.1
358,73.16
359,72.18
360,74.0
361,72.36
362,73.18
363,73.26
364,71.95
365,73.11
366,72.53
367,71.93
368,73.31
369,72.67
370,71.71
371,71.9
372,73.3
373,71.95
374,70.69
375,71.15
376,71.9
377,67.44
378,68.58
379,70.26
380,70.36
381,69.27
382,72.78
383,69.2
384,72.28
385,73.34
386,72.2
387,73.3
388,73.79
389,72.58
390,73.65
391,74.28
392,72.46
393,71.84
394,74.13
395,72.97
396,73.87
397,72.28
398,74.06
399,73.27
400,74.4
401,74.63
402,75.08
403,73.75
404,72.99
405,74.16
406,73.36
407,74.22
408,72.62
409,72.61
410,71.92
411,72.18
412,73.29
413,70.68
414,72.95
415,72.3
416,71.39
417,71.99
418,73.48
419,72.82
420,73.16
421,74.1
422,74.72
423,73.44
424,75.54
425,74.51
426,74.96
427,75.31
428,75.63
429,73.51
430,74.33
431,75.1
432,73.95
433,72.61
434,73.25
435,72.37
436,74.26
437,73.81
438,72.54
439,73.47
440,70.94
441,73.26
442,72.49
443,71.89
444,72.52
445,72.97
446,71.44
447,72.91
448,73.35
449,74.49
450,73.18
451,72.44
452,74.26
453,75.04
454,74.16
455,75.38
456,75.57
457,75.5
458,74.84
459,75.74
460,75.62
461,74.43
462,75.23
463,75.33
464,75.21
465,75.26
466,74.97
467,75.37
468,75.3
469,75.04
470,74.22
471,73.55
472,74.42
473,72.33
474,74.22
475,73.97
476,73.91
477,73.81
478,71.08
479,73.29
480,72.96
481,73.78
482,73.02
483,74.25
484,75.33
485,75.16
486,74.93
487,75.44
488,75.47
489,75.56
490,75.32
491,75.33
492,75.47
493,75.39
494,75.42
495,75.46
496,75.48
497,75.52
498,75.57
499,75.61
