,0
0,7.19
1,17.85
2,25.88
3,35.89
4,40.01
5,42.67
6,45.81
7,47.64
8,49.39
9,49.35
10,51.18
11,52.22
12,54.12
13,55.13
14,55.1
15,55.26
16,55.34
17,55.2
18,54.3
19,55.2
20,54.96
21,55.22
22,53.97
23,53.68
24,53.55
25,53.28
26,54.06
27,52.11
28,52.72
29,51.34
30,50.23
31,51.38
32,51.55
33,50.74
34,51.53
35,51.99
36,52.02
37,51.91
38,50.72
39,51.8
40,50.58
41,52.34
42,52.67
43,52.92
44,52.86
45,51.76
46,51.79
47,52.57
48,52.81
49,53.96
50,53.65
51,54.51
52,54.03
53,54.54
54,54.61
55,54.22
56,53.97
57,53.99
58,55.81
59,53.17
60,53.57
61,52.99
62,56.08
63,53.79
64,54.52
65,54.99
66,53.82
67,53.68
68,53.32
69,53.63
70,53.67
71,53.08
72,53.1
73,52.82
74,53.87
75,53.29
76,52.29
77,53.02
78,53.7
79,54.13
80,54.21
81,53.69
82,54.91
83,52.92
84,54.19
85,53.31
86,54.45
87,53.63
88,53.8
89,52.14
90,53.12
91,52.72
92,52.68
93,52.49
94,52.4
95,51.1
96,52.49
97,50.56
98,50.42
99,51.35
100,51.06
101,51.38
102,50.83
103,49.99
104,49.34
105,49.55
106,49.94
107,49.32
108,48.74
109,49.75
110,48.4
111,49.84
112,48.22
113,49.32
114,49.07
115,49.18
116,48.99
117,48.43
118,47.64
119,47.93
120,48.8
121,48.75
122,49.79
123,49.78
124,49.28
125,49.33
126,48.51
127,48.95
128,48.69
129,49.01
130,49.02
131,49.41
132,49.36
133,48.81
134,48.58
135,49.17
136,49.28
137,48.95
138,48.39
139,48.31
140,47.91
141,48.24
142,48.52
143,48.38
144,48.66
145,48.29
146,48.19
147,47.89
148,47.46
149,47.73
150,46.89
151,46.76
152,46.79
153,47.27
154,47.32
155,47.47
156,47.21
157,47.16
158,47.09
159,46.88
160,47.26
161,46.97
162,46.81
163,46.79
164,46.47
165,46.33
166,46.01
167,46.08
168,45.63
169,45.47
170,45.37
171,45.4
172,45.42
173,45.58
174,45.63
175,45.83
176,46.02
177,45.93
178,46.07
179,46.21
180,46.22
181,46.22
182,46.1
183,46.15
184,46.26
185,46.25
186,46.25
187,46.34
188,46.38
189,46.48
190,46.54
191,46.41
192,46.52
193,46.5
194,46.54
195,46.58
196,46.55
197,46.6
198,46.63
199,46.65
200,46.67
201,46.67
202,46.66
203,46.65
204,46.66
205,46.71
206,46.74
207,46.74
208,46.7
209,46.72
210,46.73
211,46.67
212,46.65
213,46.74
214,46.75
215,46.82
216,46.93
217,47.03
218,47.29
219,47.67
220,47.73
221,47.92
222,48.34
223,48.73
224,49.1
225,49.55
226,49.92
227,50.07
228,50.39
229,50.31
230,51.05
231,51.31
232,51.7
233,51.78
234,51.85
235,52.39
236,52.6
237,52.28
238,52.6
239,52.98
240,53.2
241,53.35
242,53.39
243,54.08
244,55.17
245,55.84
246,56.31
247,56.57
248,56.95
249,56.23
250,56.2
251,55.86
252,56.11
253,55.83
254,55.83
255,55.6
256,55.68
257,54.9
258,55.57
259,55.44
260,55.41
261,55.21
262,54.89
263,54.88
264,54.93
265,54.73
266,54.05
267,54.93
268,54.19
269,54.71
270,54.39
271,54.36
272,54.11
273,53.81
274,53.6
275,54.13
276,54.34
277,54.47
278,53.98
279,54.5
280,53.99
281,54.95
282,54.93
283,54.51
284,54.24
285,54.91
286,54.1
287,55.61
288,55.04
289,55.42
290,55.51
291,55.63
292,56.45
293,54.68
294,55.92
295,56.05
296,55.85
297,54.72
298,55.32
299,55.07
300,56.2
301,55.22
302,54.53
303,53.99
304,53.26
305,52.96
306,53.42
307,54.56
308,53.96
309,53.34
310,54.3
311,55.29
312,54.72
313,56.3
314,57.63
315,57.33
316,58.08
317,57.39
318,56.39
319,57.34
320,58.44
321,56.62
322,56.67
323,58.83
324,58.02
325,58.08
326,58.32
327,58.46
328,57.43
329,57.63
330,58.53
331,57.18
332,59.02
333,58.88
334,59.19
335,59.27
336,59.86
337,59.25
338,59.88
339,58.1
340,54.63
341,56.71
342,54.67
343,56.71
344,56.74
345,57.74
346,55.89
347,57.59
348,58.38
349,58.47
350,59.88
351,58.83
352,57.42
353,59.08
354,59.72
355,59.64
356,58.69
357,59.29
358,59.15
359,59.85
360,59.97
361,59.87
362,60.44
363,60.38
364,59.21
365,59.9
366,58.53
367,59.96
368,58.86
369,58.4
370,59.29
371,60.77
372,59.44
373,59.88
374,60.36
375,59.44
376,58.87
377,53.83
378,56.68
379,54.89
380,56.52
381,56.23
382,57.89
383,58.81
384,58.03
385,60.46
386,59.62
387,60.79
388,61.31
389,60.56
390,61.37
391,60.55
392,61.81
393,61.79
394,61.52
395,61.17
396,62.1
397,60.16
398,62.11
399,62.08
400,61.71
401,61.19
402,61.03
403,60.94
404,62.05
405,61.18
406,61.93
407,61.92
408,61.59
409,60.04
410,61.07
411,61.22
412,60.42
413,58.58
414,61.51
415,60.59
416,60.39
417,59.93
418,60.37
419,60.93
420,60.03
421,60.59
422,60.09
423,59.02
424,59.22
425,60.13
426,60.16
427,59.23
428,59.62
429,59.74
430,60.55
431,61.24
432,59.99
433,61.16
434,60.94
435,60.16
436,62.06
437,60.9
438,59.97
439,58.99
440,56.6
441,59.68
442,56.74
443,57.07
444,59.71
445,59.69
446,59.53
447,61.21
448,60.11
449,62.03
450,60.79
451,60.9
452,60.83
453,61.19
454,60.89
455,61.64
456,61.07
457,61.33
458,61.51
459,60.79
460,59.48
461,61.52
462,60.76
463,61.61
464,61.67
465,61.78
466,60.66
467,60.85
468,61.34
469,60.62
470,61.07
471,62.08
472,60.84
473,61.83
474,61.25
475,60.88
476,59.97
477,61.01
478,60.45
479,60.71
480,60.23
481,60.12
482,59.27
483,58.52
484,59.21
485,59.33
486,58.93
487,59.23
488,58.89
489,57.95
490,58.86
491,58.5
492,58.39
493,58.34
494,58.61
495,58.57
496,58.26
497,58.11
498,57.82
499,57.78
