,0
0,7.19
1,17.99
2,39.82
3,48.01
4,54.19
5,57.65
6,61.89
7,64.98
8,66.61
9,68.42
10,68.26
11,68.56
12,69.53
13,70.3
14,68.69
15,70.16
16,69.86
17,70.42
18,70.06
19,70.13
20,70.94
21,70.27
22,70.86
23,69.96
24,70.88
25,71.11
26,70.34
27,70.93
28,71.68
29,71.25
30,71.99
31,71.11
32,71.55
33,71.75
34,71.95
35,71.68
36,71.99
37,72.42
38,71.45
39,72.35
40,72.75
41,72.34
42,71.65
43,72.94
44,73.12
45,72.89
46,73.06
47,73.19
48,73.28
49,73.22
50,73.27
51,73.24
52,73.28
53,73.22
54,73.2
55,73.22
56,73.19
57,73.19
58,73.18
59,73.2
60,73.22
61,73.25
62,73.24
63,73.28
64,73.27
65,73.23
66,73.2
67,73.2
68,73.23
69,73.23
70,73.23
71,73.22
72,73.22
73,73.21
74,73.2
75,73.24
76,73.23
77,73.27
78,73.27
79,73.24
80,73.25
81,73.24
82,73.25
83,73.21
84,73.21
85,73.19
86,73.17
87,73.19
88,73.17
89,73.15
90,73.15
91,73.15
92,73.15
93,73.15
94,73.15
95,73.13
96,73.14
97,73.12
98,73.12
99,73.12
100,73.14
101,73.13
102,73.15
103,73.13
104,73.13
105,73.12
106,73.11
107,73.13
108,73.12
109,73.11
110,73.1
111,73.1
112,73.07
113,73.07
114,73.07
115,73.06
116,73.07
117,73.07
118,73.07
119,73.08
120,73.09
121,73.08
122,73.07
123,73.09
124,73.08
125,73.07
126,73.07
127,73.05
128,73.06
129,73.06
130,73.05
131,73.06
132,73.04
133,73.04
134,73.01
135,73.03
136,73.03
137,73.01
138,73.02
139,73.01
140,73.03
141,73.04
142,73.03
143,73.04
144,73.04
145,73.04
146,73.04
147,73.02
148,73.03
149,73.02
150,73.03
151,73.03
152,73.02
153,73.01
154,73.02
155,73.02
156,73.02
157,73.02
158,73.02
159,73.02
160,73.03
161,73.02
162,73.04
163,73.02
164,73.02
165,73.03
166,73.03
167,73.03
168,73.03
169,73.04
170,73.03
171,73.02
172,73.01
173,73.02
174,73.03
175,73.02
176,73.01
177,73.01
178,73.02
179,73.02
180,73.02
181,73.01
182,73.01
183,73.02
184,73.02
185,73.01
186,73.0
187,73.0
188,73.0
189,73.0
190,73.0
191,73.0
192,73.0
193,73.0
194,73.01
195,73.01
196,73.01
197,73.01
198,73.01
199,73.01
200,73.01
201,73.01
202,73.01
203,73.01
204,73.01
205,73.01
206,73.01
207,73.01
208,73.01
209,73.01
210,73.01
211,73.02
212,73.02
213,73.02
214,73.02
215,73.02
216,73.02
217,73.02
218,73.02
219,73.02
220,73.03
221,73.02
222,73.02
223,73.02
224,73.03
225,73.03
226,73.02
227,73.03
228,73.02
229,73.03
230,73.02
231,73.02
232,73.02
233,73.02
234,73.04
235,73.03
236,73.03
237,73.04
238,73.03
239,73.03
240,73.03
241,73.03
242,73.03
243,73.03
244,73.01
245,73.0
246,73.01
247,73.01
248,73.01
249,72.99
250,72.99
251,72.98
252,72.98
253,72.97
254,72.97
255,72.96
256,72.96
257,72.98
258,72.97
259,72.97
260,72.98
261,72.98
262,72.98
263,72.97
264,72.97
265,72.97
266,72.97
267,72.96
268,72.96
269,72.97
270,72.96
271,72.96
272,72.95
273,72.95
274,72.94
275,72.93
276,72.94
277,72.92
278,72.94
279,72.93
280,72.93
281,72.95
282,72.94
283,72.94
284,72.95
285,72.93
286,72.93
287,72.94
288,72.96
289,72.96
290,72.96
291,72.98
292,72.98
293,72.96
294,72.97
295,72.98
296,72.99
297,72.98
298,72.99
299,72.99
300,73.01
301,72.99
302,73.01
303,73.0
304,72.98
305,72.99
306,72.99
307,72.99
308,72.98
309,72.98
310,72.98
311,72.98
312,73.0
313,72.99
314,72.99
315,72.99
316,72.96
317,72.98
318,72.99
319,72.99
320,72.98
321,72.96
322,72.96
323,72.96
324,72.95
325,72.96
326,72.94
327,72.95
328,72.95
329,72.96
330,72.95
331,72.95
332,72.96
333,73.0
334,72.97
335,72.96
336,72.95
337,72.95
338,72.94
339,72.9
340,72.92
341,72.92
342,72.92
343,72.93
344,72.91
345,72.95
346,72.94
347,72.93
348,72.93
349,72.95
350,72.94
351,72.94
352,72.92
353,72.94
354,72.96
355,72.95
356,72.91
357,72.89
358,72.86
359,72.87
360,72.84
361,72.85
362,72.86
363,72.87
364,72.86
365,72.84
366,72.84
367,72.83
368,72.84
369,72.84
370,72.82
371,72.77
372,72.77
373,72.76
374,72.78
375,72.76
376,72.76
377,72.77
378,72.77
379,72.78
380,72.76
381,72.77
382,72.74
383,72.73
384,72.74
385,72.74
386,72.77
387,72.77
388,72.77
389,72.73
390,72.73
391,72.75
392,72.77
393,72.81
394,72.81
395,72.82
396,72.8
397,72.82
398,72.69
399,72.48
400,72.82
401,72.84
402,72.94
403,73.17
404,73.35
405,73.23
406,73.02
407,73.24
408,72.9
409,73.35
410,72.28
411,73.09
412,73.08
413,73.02
414,73.1
415,72.96
416,72.25
417,72.72
418,73.03
419,72.71
420,72.51
421,73.65
422,73.71
423,73.72
424,73.58
425,73.26
426,74.41
427,73.61
428,74.2
429,74.15
430,73.55
431,73.68
432,74.07
