,0
0,7.19
1,18.14
2,27.03
3,36.68
4,41.27
5,44.14
6,45.87
7,49.13
8,50.01
9,51.31
10,53.17
11,54.43
12,55.32
13,56.23
14,55.69
15,57.12
16,56.57
17,58.16
18,57.66
19,58.56
20,57.33
21,57.64
22,58.22
23,58.32
24,58.07
25,58.34
26,59.35
27,57.92
28,58.49
29,58.35
30,58.91
31,58.55
32,58.06
33,58.55
34,57.92
35,58.2
36,57.62
37,58.49
38,58.55
39,59.05
40,59.44
41,58.95
42,58.69
43,59.0
44,58.48
45,58.9
46,58.72
47,58.35
48,58.42
49,58.54
50,58.47
51,57.35
52,56.96
53,57.74
54,57.19
55,56.96
56,57.5
57,57.42
58,57.15
59,57.29
60,57.3
61,57.09
62,56.79
63,57.27
64,56.37
65,56.99
66,56.98
67,57.08
68,57.13
69,57.03
70,57.1
71,56.76
72,56.56
73,56.36
74,56.3
75,56.23
76,56.27
77,55.98
78,55.85
79,55.75
80,55.5
81,55.47
82,55.35
83,55.13
84,55.31
85,55.17
86,54.94
87,54.89
88,54.83
89,54.75
90,54.61
91,54.47
92,54.5
93,54.4
94,54.31
95,54.22
96,54.15
97,54.02
98,53.9
99,53.87
100,53.7
101,53.64
102,53.54
103,53.56
104,53.57
105,53.54
106,53.52
107,53.48
108,53.41
109,53.35
110,53.23
111,53.16
112,53.11
113,53.08
114,53.03
115,52.95
116,52.84
117,52.86
118,52.81
119,52.81
120,52.81
121,52.79
122,52.8
123,52.76
124,52.72
125,52.68
126,52.63
127,52.62
128,52.56
129,52.55
130,52.53
131,52.47
132,52.47
133,52.41
134,52.38
135,52.32
136,52.3
137,52.32
138,52.3
139,52.18
140,52.15
141,52.09
142,52.04
143,52.02
144,51.93
145,51.9
146,51.86
147,51.8
148,51.75
149,51.71
150,51.68
151,51.62
152,51.53
153,51.5
154,51.47
155,51.46
156,51.44
157,51.38
158,51.36
159,51.37
160,51.36
161,51.32
162,51.31
163,51.3
164,51.28
165,51.29
166,51.21
167,51.22
168,51.25
169,51.26
170,51.19
171,51.2
172,51.25
173,51.21
174,51.15
175,51.12
176,51.09
177,51.07
178,51.03
179,51.02
180,50.97
181,50.9
182,50.92
183,50.89
184,50.87
185,50.85
186,50.8
187,50.77
188,50.68
189,50.59
190,50.52
191,50.38
192,50.33
193,50.27
194,50.19
195,50.16
196,50.11
197,50.07
198,50.04
199,49.96
200,49.96
201,49.96
202,49.98
203,49.99
204,50.05
205,50.12
206,50.19
207,50.21
208,50.31
209,50.41
210,50.47
211,50.47
212,50.44
213,50.47
214,50.49
215,50.46
216,50.52
217,50.5
218,50.47
219,50.48
220,50.52
221,50.59
222,50.58
223,50.6
224,50.58
225,50.58
226,50.57
227,50.58
228,50.56
229,50.56
230,50.57
231,50.53
232,50.51
233,50.51
234,50.55
235,50.57
236,50.61
237,50.63
238,50.62
239,50.62
240,50.62
241,50.6
242,50.59
243,50.61
244,50.6
245,50.66
246,50.62
247,50.65
248,50.69
249,50.72
250,50.75
251,50.75
252,50.76
253,50.76
254,50.81
255,50.83
256,50.86
257,50.82
258,50.83
259,50.82
260,50.81
261,50.82
262,50.81
263,50.83
264,50.85
265,50.87
266,50.84
267,50.87
268,50.83
269,50.82
270,50.85
271,50.83
272,50.84
273,50.87
274,50.91
275,50.95
276,50.95
277,50.92
278,50.91
279,50.91
280,50.89
281,50.91
282,50.96
283,50.95
284,50.97
285,51.0
286,51.01
287,51.03
288,51.01
289,51.03
290,51.07
291,51.06
292,51.04
293,51.07
294,51.11
295,51.15
296,51.11
297,51.08
298,51.08
299,51.07
300,51.06
301,51.05
302,51.08
303,51.06
304,51.09
305,51.15
306,51.13
307,51.15
308,51.2
309,51.16
310,51.2
311,51.22
312,51.23
313,51.1
314,51.49
315,52.34
316,52.26
317,52.74
318,53.28
319,53.27
320,53.29
321,54.02
322,53.56
323,53.92
324,53.73
325,53.65
326,53.59
327,53.22
328,53.93
329,53.94
330,54.27
331,54.03
332,53.46
333,53.75
334,53.94
335,53.94
336,53.71
337,53.69
338,53.55
339,53.5
340,53.45
341,53.32
342,53.21
343,53.52
344,53.45
345,54.3
346,53.81
347,54.23
348,54.93
349,54.29
350,53.26
351,54.49
352,53.87
353,55.07
354,55.65
355,55.91
356,56.43
357,58.04
358,59.12
359,58.61
360,58.77
361,57.6
362,58.6
363,58.59
364,58.19
365,57.8
366,58.03
367,59.18
368,58.31
369,56.87
370,57.86
371,56.98
372,57.58
373,57.27
374,58.08
375,57.76
376,57.98
377,57.36
378,57.42
379,57.3
380,57.14
381,57.09
382,57.01
383,56.85
384,56.72
385,56.74
386,56.65
387,56.62
388,56.54
389,56.51
390,56.41
391,56.38
392,56.38
393,56.31
394,56.29
395,56.17
396,56.15
397,56.12
398,56.08
399,56.04
400,56.04
401,55.99
402,55.92
403,55.89
404,55.91
405,55.9
406,55.89
407,55.84
408,55.76
409,55.73
410,55.68
411,55.69
412,55.65
413,55.62
414,55.6
415,55.58
416,55.54
417,55.51
418,55.43
419,55.38
420,55.38
421,55.34
422,55.36
423,55.31
424,55.33
425,55.29
426,55.28
427,55.27
428,55.31
429,55.3
430,55.26
431,55.29
432,55.28
433,55.27
434,55.31
435,55.3
436,55.27
437,55.27
438,55.23
439,55.2
440,55.27
441,55.17
442,55.25
443,55.16
444,55.27
445,55.17
446,55.23
447,55.19
448,55.23
449,55.23
450,55.16
451,55.15
452,55.15
453,55.16
454,55.15
455,55.14
456,55.15
457,55.16
458,55.17
459,55.15
460,55.18
461,55.19
462,55.11
463,55.12
464,55.09
465,55.11
466,55.07
467,55.04
468,55.02
469,55.05
470,55.06
471,54.97
472,54.97
473,54.97
474,54.95
475,54.93
476,54.91
477,54.91
478,54.89
479,54.85
480,54.81
481,54.78
482,54.76
483,54.71
484,54.75
485,54.74
486,54.73
487,54.73
488,54.76
489,54.72
490,54.68
491,54.68
492,54.64
493,54.68
494,54.7
495,54.68
496,54.68
497,54.71
498,54.69
499,54.65
