,0
0,2.98
1,8.29
2,13.43
3,16.92
4,20.42
5,22.5
6,24.8
7,27.48
8,30.13
9,32.01
10,33.35
11,34.19
12,35.24
13,35.93
14,36.48
15,36.64
16,36.66
17,36.72
18,36.89
19,37.51
20,37.32
21,37.16
22,37.56
23,37.05
24,36.7
25,35.91
26,35.76
27,34.68
28,34.5
29,35.31
30,35.57
31,34.66
32,35.12
33,35.1
34,34.81
35,32.68
36,33.94
37,33.66
38,34.15
39,34.02
40,34.31
41,34.14
42,35.0
43,33.89
44,34.5
45,34.6
46,34.98
47,34.48
48,34.25
49,34.73
50,34.51
51,35.05
52,34.38
53,35.2
54,34.95
55,35.45
56,35.06
57,35.16
58,35.59
59,35.39
60,35.32
61,35.31
62,35.43
63,35.22
64,35.4
65,35.46
66,35.36
67,35.27
68,35.17
69,35.36
70,35.37
71,35.39
72,35.39
73,35.35
74,35.28
75,35.3
76,35.3
77,35.28
78,35.27
79,35.3
80,35.3
81,35.25
82,35.22
83,35.2
84,35.18
85,35.17
86,35.15
87,35.16
88,35.14
89,35.15
90,35.14
91,35.14
92,35.13
93,35.12
94,35.11
95,35.06
96,35.1
97,35.09
98,35.08
99,35.08
100,35.07
101,35.08
102,35.02
103,35.04
104,35.02
105,35.02
106,35.03
107,35.03
108,35.07
109,35.06
110,35.06
111,35.07
112,35.07
113,35.07
114,35.04
115,35.07
116,35.07
117,35.02
118,35.05
119,35.02
120,35.0
121,35.04
122,35.02
123,34.99
124,34.99
125,34.97
126,34.99
127,34.98
128,34.96
129,34.94
130,34.94
131,34.96
132,34.95
133,34.96
134,34.94
135,34.96
136,34.95
137,34.94
138,34.93
139,34.96
140,34.93
141,34.94
142,34.94
143,34.94
144,34.93
145,34.95
146,34.94
147,34.92
148,34.94
149,34.95
150,34.96
151,34.91
152,34.9
153,34.9
154,34.87
155,34.89
156,34.85
157,34.86
158,34.86
159,34.88
160,34.87
161,34.84
162,34.87
163,34.89
164,34.85
165,34.87
166,34.86
167,34.86
168,34.87
169,34.88
170,34.88
171,34.87
172,34.87
173,34.88
174,34.88
175,34.88
176,34.86
177,34.87
178,34.87
179,34.84
180,34.84
181,34.82
182,34.82
183,34.82
184,34.85
185,34.82
186,34.83
187,34.83
188,34.83
189,34.83
190,34.84
191,34.82
192,34.84
193,34.83
194,34.83
195,34.82
196,34.83
197,34.82
198,34.82
199,34.82
200,34.82
201,34.82
202,34.82
203,34.83
204,34.82
205,34.82
206,34.82
207,34.82
208,34.82
209,34.82
210,34.81
211,34.83
212,34.81
213,34.83
214,34.83
215,34.83
216,34.82
217,34.83
218,34.84
219,34.84
220,34.83
221,34.82
222,34.81
223,34.82
224,34.81
225,34.82
226,34.82
227,34.82
228,34.82
229,34.84
230,34.82
231,34.81
232,34.82
233,34.82
234,34.8
235,34.78
236,34.79
237,34.82
238,34.82
239,34.81
240,34.79
241,34.82
242,34.81
243,34.8
244,34.8
245,34.79
246,34.79
247,34.79
248,34.81
249,34.79
250,34.8
251,34.81
252,34.8
253,34.82
254,34.82
255,34.83
256,34.82
257,34.83
258,34.84
259,34.8
260,34.82
261,34.83
262,34.8
263,34.85
264,34.84
265,34.83
266,34.8
267,34.81
268,34.83
269,34.8
270,34.81
271,34.8
272,34.81
273,34.78
274,34.78
275,34.75
276,34.77
277,34.75
278,34.73
279,34.75
280,34.73
281,34.72
282,34.73
283,34.73
284,34.73
285,34.69
286,34.68
287,34.66
288,34.65
289,34.65
290,34.64
291,34.63
292,34.62
293,34.64
294,34.66
295,34.64
296,34.64
297,34.63
298,34.64
299,34.63
300,34.63
301,34.61
302,34.6
303,34.58
304,34.56
305,34.57
306,34.58
307,34.58
308,34.57
309,34.6
310,34.59
311,34.58
312,34.58
313,34.58
314,34.54
315,34.55
316,34.59
317,34.58
318,34.56
319,34.57
320,34.59
321,34.59
322,34.58
323,34.6
324,34.59
325,34.55
326,34.57
327,34.55
328,34.56
329,34.54
330,34.49
331,34.56
332,34.61
333,34.48
334,34.58
335,34.51
336,34.49
337,34.6
338,34.43
339,34.49
340,34.52
341,34.56
342,34.54
343,34.31
344,34.47
345,34.5
346,34.44
347,34.44
348,34.44
349,34.49
350,34.51
351,34.52
352,34.51
353,34.49
354,34.44
355,34.39
356,34.51
357,34.59
358,34.55
359,34.58
360,34.47
361,34.29
362,34.28
363,34.41
364,34.85
365,35.0
366,35.67
367,35.31
368,35.33
369,35.48
370,35.32
371,35.41
372,35.66
373,35.58
374,35.48
375,35.19
376,35.2
377,35.38
378,35.1
379,35.33
380,35.2
381,34.99
382,35.22
383,35.19
384,35.36
385,35.39
386,35.76
387,35.42
388,35.33
389,35.12
390,35.09
391,35.18
392,35.24
393,35.25
394,35.6
395,35.58
396,35.42
397,35.78
398,35.48
399,35.3
400,35.7
401,35.17
402,35.16
403,35.28
404,35.21
405,35.2
406,35.14
407,35.23
408,35.01
409,35.24
410,35.15
