,0
0,19.15
1,25.54
2,35.8
3,40.92
4,42.91
5,46.13
6,47.15
7,49.22
8,50.48
9,53.56
10,54.44
11,56.26
12,56.23
13,57.23
14,57.21
15,56.64
16,57.32
17,57.69
18,58.86
19,58.4
20,58.06
21,59.06
22,58.81
23,59.23
24,59.48
25,58.75
26,58.36
27,59.0
28,59.49
29,59.0
30,59.45
31,59.17
32,58.48
33,58.73
34,59.0
35,58.79
36,58.89
37,59.79
38,59.17
39,59.95
40,58.82
41,59.37
42,58.74
43,59.44
44,59.14
45,58.81
46,58.68
47,59.2
48,59.28
49,59.04
50,58.97
51,58.49
52,58.58
53,57.91
54,57.52
55,58.53
56,57.86
57,58.26
58,58.35
59,57.15
60,57.79
61,57.83
62,57.53
63,57.3
64,56.92
65,57.11
66,57.19
67,56.95
68,57.48
69,57.75
70,57.68
71,57.37
72,57.1
73,56.98
74,57.09
75,56.99
76,56.73
77,56.54
78,56.5
79,56.29
80,56.47
81,56.48
82,56.35
83,56.28
84,56.08
85,56.01
86,56.01
87,55.94
88,55.73
89,55.6
90,55.5
91,55.41
92,55.34
93,55.29
94,55.18
95,55.11
96,55.09
97,55.1
98,55.0
99,54.95
100,54.91
101,54.89
102,54.84
103,54.81
104,54.87
105,54.83
106,54.71
107,54.71
108,54.62
109,54.59
110,54.48
111,54.41
112,54.33
113,54.33
114,54.25
115,54.17
116,54.1
117,54.05
118,53.95
119,53.89
120,53.86
121,53.84
122,53.82
123,53.78
124,53.71
125,53.73
126,53.65
127,53.61
128,53.66
129,53.67
130,53.61
131,53.53
132,53.47
133,53.48
134,53.46
135,53.42
136,53.36
137,53.33
138,53.34
139,53.38
140,53.39
141,53.32
142,53.29
143,53.24
144,53.24
145,53.22
146,53.14
147,53.08
148,53.07
149,53.05
150,53.02
151,53.0
152,52.95
153,52.95
154,52.87
155,52.81
156,52.77
157,52.77
158,52.74
159,52.74
160,52.71
161,52.69
162,52.67
163,52.64
164,52.63
165,52.57
166,52.56
167,52.49
168,52.44
169,52.34
170,52.28
171,52.24
172,52.2
173,52.18
174,52.2
175,52.17
176,52.13
177,52.12
178,52.11
179,52.08
180,52.1
181,52.02
182,52.05
183,52.0
184,51.97
185,51.96
186,51.88
187,51.86
188,51.86
189,51.79
190,51.7
191,51.54
192,51.41
193,51.32
194,51.31
195,51.28
196,51.28
197,51.24
198,51.2
199,51.18
200,51.19
201,51.19
202,51.22
203,51.28
204,51.31
205,51.33
206,51.4
207,51.5
208,51.54
209,51.6
210,51.74
211,51.71
212,51.73
213,51.77
214,51.74
215,51.73
216,51.74
217,51.73
218,51.75
219,51.73
220,51.75
221,51.75
222,51.72
223,51.74
224,51.72
225,51.72
226,51.76
227,51.76
228,51.75
229,51.76
230,51.79
231,51.81
232,51.8
233,51.8
234,51.83
235,51.87
236,51.9
237,51.9
238,51.95
239,51.94
240,51.9
241,51.9
242,51.91
243,51.91
244,51.93
245,51.93
246,51.96
247,52.01
248,52.02
249,51.99
250,52.03
251,52.07
