,0
0,0.94
1,3.28
2,42.06
3,51.98
4,57.95
5,60.3
6,62.66
7,64.84
8,66.33
9,66.91
10,67.7
11,68.53
12,68.82
13,69.54
14,69.57
15,70.01
16,70.68
17,70.75
18,71.24
19,72.06
20,72.26
21,73.1
22,73.08
23,73.45
24,73.87
25,73.78
26,74.08
27,74.14
28,74.39
29,73.64
30,72.74
31,72.92
32,73.03
33,73.94
34,74.59
35,74.61
36,74.7
37,74.81
38,74.71
39,74.96
40,74.98
41,74.96
42,74.88
43,74.96
44,74.57
45,74.09
46,74.05
47,74.45
48,74.79
49,75.06
50,75.44
51,75.25
52,75.41
53,75.51
54,75.49
55,75.52
56,75.66
57,75.69
58,75.62
59,75.59
60,75.61
61,75.67
62,75.5
63,75.35
64,75.51
65,75.44
66,75.33
67,75.35
68,75.38
69,75.33
70,75.3
71,75.29
72,75.37
73,75.27
74,75.22
75,75.2
76,75.27
77,75.35
78,75.3
79,75.25
80,75.28
81,75.31
82,75.37
83,75.37
84,75.33
85,75.28
86,75.34
87,75.39
88,75.45
89,75.43
90,75.44
91,75.48
92,75.46
93,75.52
94,75.44
95,75.45
96,75.55
97,75.5
98,75.47
99,75.48
