,0
0,17.36
1,37.01
2,46.83
3,53.12
4,57.91
5,61.03
6,63.86
7,66.1
8,67.02
9,66.46
10,67.22
11,68.59
12,69.29
13,69.98
14,69.24
15,68.95
16,68.17
17,67.86
18,68.64
19,70.12
20,68.51
21,69.58
22,69.79
23,70.85
24,69.67
25,70.4
26,69.87
27,71.14
28,71.45
29,69.92
30,69.52
31,71.01
32,69.96
33,70.15
34,70.86
35,70.94
36,70.92
37,71.3
38,71.43
39,70.93
40,71.12
41,70.31
42,71.38
43,71.5
44,71.53
45,71.57
46,71.93
47,72.11
48,72.15
49,71.99
50,72.17
51,72.1
52,72.11
53,72.03
54,72.0
55,72.05
56,72.09
57,72.09
58,72.13
59,72.14
60,72.13
61,72.11
62,72.1
63,72.13
64,72.12
65,72.09
66,72.08
67,72.1
68,72.09
69,72.09
70,72.07
71,72.06
72,72.02
73,72.02
74,72.02
75,72.02
76,72.03
77,72.05
78,72.04
79,72.02
80,72.02
81,72.08
82,72.04
83,72.09
84,72.08
85,72.09
86,72.05
87,72.06
88,72.07
89,72.06
90,72.07
91,72.08
92,72.08
93,72.07
94,72.05
95,72.07
96,72.07
97,72.06
98,72.05
99,72.06
100,72.07
101,72.05
102,72.07
103,72.07
104,72.08
105,72.09
106,72.08
107,72.09
108,72.09
109,72.09
110,72.09
111,72.07
112,72.06
113,72.06
114,72.08
115,72.08
116,72.08
117,72.08
118,72.07
119,72.09
120,72.08
121,72.09
122,72.09
123,72.09
124,72.11
125,72.1
126,72.1
127,72.12
128,72.13
129,72.13
130,72.13
131,72.12
132,72.12
133,72.13
134,72.13
135,72.12
136,72.13
137,72.14
138,72.13
139,72.14
140,72.14
141,72.13
142,72.13
143,72.11
144,72.12
145,72.13
146,72.12
147,72.11
148,72.12
149,72.1
150,72.11
151,72.1
152,72.09
153,72.1
154,72.09
155,72.08
156,72.08
157,72.08
158,72.07
159,72.09
160,72.08
161,72.1
162,72.07
163,72.07
164,72.1
165,72.09
166,72.08
167,72.09
168,72.09
169,72.11
170,72.1
171,72.11
172,72.11
173,72.1
174,72.11
175,72.1
176,72.1
177,72.11
178,72.1
179,72.09
180,72.1
181,72.1
182,72.1
183,72.09
184,72.09
185,72.08
186,72.09
187,72.09
188,72.08
189,72.08
190,72.09
191,72.08
192,72.08
193,72.09
194,72.09
195,72.09
196,72.09
197,72.09
198,72.09
199,72.09
200,72.09
201,72.09
202,72.09
203,72.09
204,72.09
205,72.09
206,72.09
207,72.09
208,72.09
209,72.09
210,72.09
211,72.09
212,72.09
213,72.1
214,72.09
215,72.1
216,72.1
217,72.09
218,72.1
219,72.1
220,72.09
221,72.1
222,72.1
223,72.09
224,72.09
225,72.11
226,72.1
227,72.11
228,72.07
229,72.09
230,72.09
231,72.1
232,72.1
233,72.08
234,72.08
235,72.1
236,72.1
237,72.09
238,72.08
239,72.1
240,72.11
241,72.08
242,72.1
243,72.1
244,72.09
245,72.07
246,72.08
247,72.1
248,72.1
249,72.1
250,72.08
251,72.09
252,72.11
253,72.1
254,72.1
255,72.09
256,72.08
257,72.07
258,72.08
259,72.09
260,72.08
261,72.08
262,72.09
263,72.08
264,72.09
265,72.09
266,72.08
267,72.08
268,72.07
269,72.07
270,72.07
271,72.06
272,72.06
273,72.06
274,72.04
275,72.05
276,72.04
277,72.04
278,72.04
279,72.03
280,72.02
281,72.01
282,72.02
283,72.0
284,72.0
285,72.01
286,72.01
287,72.01
288,72.02
289,72.02
