,0
0,10.93
1,12.01
2,14.91
3,23.45
4,18.25
5,29.01
6,17.14
7,28.73
8,19.8
9,27.97
10,21.36
11,32.5
12,19.75
13,27.87
14,20.91
15,32.28
16,22.15
17,31.14
18,24.48
19,32.61
20,21.72
21,32.46
22,21.59
23,34.9
24,23.27
25,34.99
26,22.61
27,36.13
28,22.89
29,37.27
30,25.8
31,38.32
32,28.28
33,38.51
34,32.34
35,38.73
36,34.13
37,38.18
38,34.32
39,37.28
40,35.48
41,37.16
42,36.84
43,36.75
44,36.88
45,36.93
46,36.4
47,37.02
48,36.42
49,36.8
50,36.86
51,36.96
52,36.6
53,36.98
54,36.41
55,36.87
56,36.34
57,36.76
58,36.48
59,36.62
60,36.52
61,36.67
62,36.62
63,36.54
64,36.55
65,36.4
66,36.31
67,36.3
68,36.18
69,36.19
70,36.12
71,36.21
72,36.21
73,36.23
74,36.3
75,36.29
76,36.32
77,36.31
78,36.2
79,36.12
80,36.22
81,36.42
82,36.51
83,36.53
84,36.61
85,36.83
86,36.96
87,37.2
88,37.52
89,37.97
90,38.7
91,39.53
92,40.26
93,40.66
94,41.2
95,41.57
96,41.97
97,42.27
98,42.05
99,42.03
