,0
0,11.58
1,78.25
2,84.17
3,86.86
4,88.4
5,89.54
6,90.34
7,91.19
8,91.42
9,91.84
10,92.22
11,92.55
12,92.19
13,92.7
14,92.91
15,93.03
16,93.1
17,93.29
18,93.26
19,93.62
20,93.66
21,93.52
22,93.66
23,93.82
24,93.66
25,93.68
26,93.79
27,94.16
28,94.13
29,94.18
30,94.36
31,94.33
32,94.34
33,94.26
34,94.32
35,94.3
36,94.45
37,94.34
38,94.33
39,94.33
40,94.17
41,94.03
42,94.02
43,94.02
44,94.34
45,94.48
46,94.61
47,94.63
48,94.65
49,94.58
50,94.51
51,94.46
52,94.47
53,94.49
54,94.47
55,94.44
56,94.37
57,94.43
58,94.37
59,94.38
60,94.43
61,94.44
62,94.38
63,94.43
64,94.36
65,94.42
66,94.38
67,94.41
68,94.36
69,94.39
70,94.38
71,94.36
72,94.35
73,94.35
74,94.31
75,94.33
76,94.37
77,94.35
78,94.36
79,94.37
80,94.35
81,94.34
82,94.35
83,94.36
84,94.38
85,94.36
86,94.38
87,94.38
88,94.39
89,94.41
90,94.4
91,94.41
92,94.41
93,94.4
94,94.4
95,94.41
96,94.4
97,94.39
98,94.4
99,94.41
