,0
0,47.57
1,61.27
2,63.84
3,74.81
4,78.61
5,75.22
6,78.41
7,76.92
8,81.18
9,81.48
10,81.49
11,83.49
12,81.16
13,83.0
14,83.25
15,83.52
16,82.23
17,83.89
18,83.4
19,79.1
20,85.28
21,83.92
22,82.08
23,83.49
24,84.74
25,78.04
26,80.93
27,81.54
28,84.08
29,81.97
30,79.29
31,83.03
32,83.35
33,85.26
34,86.57
35,82.14
36,85.23
37,81.79
38,87.18
39,87.51
40,85.1
41,85.59
42,86.63
43,85.12
44,85.63
45,85.52
46,86.34
47,86.28
48,86.0
49,85.96
50,84.63
51,86.45
52,83.28
53,86.62
54,87.43
55,87.48
56,88.05
57,85.85
58,88.22
59,87.06
60,88.02
61,87.64
62,87.64
63,87.82
64,88.38
65,88.3
66,87.92
67,87.65
68,87.57
69,88.03
70,87.94
71,87.85
72,87.99
73,87.65
74,87.62
75,87.62
76,87.39
77,87.69
78,87.69
79,87.46
80,87.42
81,87.48
82,87.47
83,87.64
84,87.43
85,87.44
86,87.24
87,87.42
88,87.31
89,87.42
90,87.24
91,87.21
92,87.16
93,87.17
94,87.28
95,87.22
96,87.18
97,87.17
98,87.18
99,87.08
