,0
0,1.1
1,3.3
2,3.3
3,3.72
4,2.95
5,4.0
6,3.73
7,5.2
8,3.7
9,3.84
10,5.31
11,4.59
12,4.23
13,5.5
14,6.92
15,7.66
16,6.06
17,8.74
18,7.09
19,7.97
20,8.56
21,9.77
22,9.63
23,8.12
24,8.89
25,11.67
26,10.95
27,12.61
28,13.59
29,12.05
30,14.03
31,14.57
32,15.38
33,19.62
34,16.36
35,18.23
36,17.2
37,18.5
38,18.37
39,18.02
40,17.27
41,22.1
42,22.21
43,23.69
44,23.37
45,23.55
46,23.2
47,22.3
48,21.35
49,24.31
50,26.93
51,25.7
52,26.71
53,25.69
54,27.22
55,23.24
56,29.82
57,27.87
58,30.57
59,28.18
60,27.94
61,26.76
62,26.69
63,29.64
64,26.05
65,25.99
66,26.8
67,30.22
68,28.17
69,29.9
70,29.27
71,28.68
72,31.59
73,31.58
74,32.32
75,31.14
76,32.2
77,28.44
78,30.79
79,30.97
80,32.08
81,33.7
82,32.53
83,31.82
84,31.48
85,34.07
86,34.18
87,34.63
88,30.72
89,32.77
90,33.97
91,33.22
92,30.35
93,34.13
94,33.7
95,34.53
96,33.47
97,34.74
98,33.36
99,35.45
100,32.67
101,34.24
102,34.18
103,34.81
104,35.9
105,35.55
106,34.65
107,35.81
108,35.57
109,35.03
110,36.49
111,35.69
112,34.97
113,35.58
114,35.98
115,34.36
116,36.32
117,36.01
118,35.19
119,38.02
120,36.25
121,36.62
122,37.5
123,35.41
124,36.26
125,36.31
126,37.75
127,38.02
128,39.04
129,36.84
130,36.59
131,37.93
132,37.27
133,37.18
134,36.88
135,36.2
136,37.0
137,37.4
138,37.09
139,37.62
140,37.12
141,38.66
142,38.98
143,37.7
144,37.75
145,39.19
146,36.82
147,38.37
148,39.78
149,38.69
150,38.5
151,39.44
152,39.35
153,39.37
154,38.79
155,40.01
156,40.3
157,39.8
158,39.29
159,38.75
160,39.26
161,38.93
162,39.03
163,39.67
164,39.71
165,40.2
166,40.23
167,39.18
168,40.41
169,39.95
170,39.56
171,40.13
172,40.98
173,40.38
174,40.44
175,40.34
176,40.02
177,41.18
178,39.86
179,41.03
180,40.95
181,41.41
182,40.96
183,40.8
184,41.01
185,41.3
186,41.83
187,42.01
188,42.04
189,41.79
190,42.38
191,42.09
192,42.08
193,42.51
194,42.44
195,42.56
196,41.96
197,42.2
198,42.4
199,42.52
200,42.04
201,42.53
202,42.16
203,42.21
204,42.5
205,42.87
206,42.63
207,42.54
208,41.89
209,42.11
210,42.24
211,41.76
212,42.37
213,42.16
214,42.38
215,41.72
216,41.55
217,42.3
218,42.58
219,42.46
220,41.28
221,41.31
222,41.25
223,41.46
224,41.02
225,41.92
226,41.17
227,41.35
228,40.8
229,41.27
230,41.01
231,41.7
232,41.3
233,40.82
234,40.89
235,41.13
236,40.58
237,40.82
238,40.47
239,40.46
240,40.37
241,41.23
242,40.66
243,40.91
244,40.98
245,39.63
246,40.21
247,40.12
248,40.45
249,41.0
250,40.99
251,41.01
252,40.51
253,39.86
254,40.04
255,40.15
256,40.46
257,40.06
258,40.53
259,40.97
260,38.7
261,39.36
262,39.17
263,40.19
264,39.68
265,40.19
266,39.85
267,40.21
268,40.31
269,39.68
270,40.11
271,39.9
272,39.68
273,39.84
274,40.02
275,39.78
276,38.81
277,39.13
278,39.8
279,39.85
280,41.09
281,40.17
282,40.46
283,40.22
284,40.71
285,39.55
286,39.65
287,40.1
288,40.36
289,39.03
290,38.76
291,39.66
292,39.96
293,39.63
294,39.95
295,39.71
296,40.55
297,40.33
298,39.75
299,40.49
300,40.73
301,38.88
302,39.88
303,40.18
304,40.4
305,39.46
306,39.93
307,40.31
308,39.3
309,39.91
310,39.53
311,39.14
312,38.92
313,40.02
314,38.8
315,39.23
316,39.5
317,39.06
318,38.14
319,37.28
320,38.02
321,38.93
322,38.16
323,38.71
324,39.62
325,37.9
326,36.51
327,34.75
328,36.01
329,33.85
330,31.99
331,35.18
332,34.07
333,33.43
334,32.9
335,33.79
336,34.76
337,32.59
338,35.66
339,33.65
340,30.87
341,35.63
342,32.51
343,34.88
344,34.23
345,34.23
346,33.08
347,34.36
348,34.34
349,33.57
350,33.42
351,33.25
352,33.07
353,33.06
354,32.73
355,35.61
356,31.33
357,34.42
358,34.81
359,31.81
360,35.57
361,36.38
362,35.06
363,34.02
364,31.91
365,36.45
366,32.38
367,33.37
368,35.56
369,31.4
370,33.31
371,35.14
372,33.07
373,34.08
374,32.98
375,36.97
376,35.61
377,34.9
378,35.05
379,35.96
380,32.3
381,32.7
382,35.04
383,34.33
384,34.98
385,35.23
386,36.27
387,34.6
388,36.36
389,33.9
390,34.49
391,36.01
392,34.05
393,34.71
394,33.75
395,33.96
396,33.63
397,34.83
398,37.03
399,34.36
400,34.39
401,32.41
402,36.4
403,36.44
404,35.01
405,33.74
406,33.83
407,35.8
408,35.9
409,35.56
410,35.58
411,36.95
412,36.44
413,35.94
414,36.0
415,35.23
416,37.01
417,35.72
418,36.13
419,36.32
420,36.13
421,35.51
422,36.52
423,37.35
424,35.86
425,36.57
426,37.04
427,35.72
428,35.46
429,36.69
430,37.7
431,35.4
432,35.87
433,35.04
434,39.03
435,37.0
436,36.87
437,37.12
438,37.54
439,36.4
440,37.95
441,38.72
442,37.35
443,38.47
444,36.97
445,38.18
446,39.71
447,38.36
448,38.78
449,37.93
450,38.37
451,39.22
452,36.81
453,39.19
454,39.48
455,38.84
456,40.98
457,40.36
458,41.13
459,41.02
460,39.43
461,40.01
462,39.96
463,39.76
464,40.5
465,40.2
466,40.42
467,40.79
468,41.28
469,40.81
470,38.83
471,40.25
472,39.34
473,41.29
474,41.41
475,40.43
476,40.96
477,40.89
478,40.59
479,39.81
480,40.29
481,39.61
482,41.23
483,41.9
484,41.66
485,42.31
486,41.64
487,41.5
488,40.05
489,42.14
490,41.82
491,40.96
492,42.16
493,41.47
494,41.65
495,41.24
496,41.08
497,40.67
498,42.49
499,41.82
