,0
0,23.61
1,35.48
2,41.44
3,51.31
4,50.68
5,56.87
6,58.65
7,60.23
8,51.8
9,62.9
10,66.81
11,63.95
12,69.38
13,69.76
14,72.45
15,66.57
16,72.16
17,72.9
18,73.21
19,73.51
20,73.73
21,73.29
22,73.24
23,72.17
24,73.44
25,73.36
26,72.38
27,74.68
28,72.34
29,76.79
30,75.97
31,75.87
32,76.42
33,74.99
34,76.7
35,76.3
36,72.88
37,74.38
38,76.7
39,76.2
40,74.19
41,78.09
42,77.35
43,75.32
44,75.76
45,76.43
46,78.02
47,77.43
48,77.64
49,76.79
50,76.71
51,75.78
52,76.59
53,76.58
54,76.66
55,76.73
56,77.8
57,75.48
58,77.19
59,77.4
60,77.71
61,78.56
62,77.4
63,77.06
64,78.51
65,77.6
66,77.39
67,78.75
68,79.03
69,79.61
70,79.41
71,79.67
72,79.8
73,79.65
74,79.39
75,79.78
76,79.85
77,79.8
78,79.83
79,79.8
80,79.85
81,79.84
82,79.52
83,79.75
84,79.74
85,79.66
86,79.5
87,79.66
88,79.59
89,79.79
90,79.66
91,79.71
92,79.56
93,79.82
94,79.63
95,79.72
96,79.7
97,79.79
98,79.7
99,79.91
100,79.87
101,79.87
102,79.86
103,79.92
104,79.84
105,79.89
106,79.84
107,79.89
108,79.91
109,79.95
110,79.87
111,79.79
112,79.84
113,79.89
114,79.96
115,79.94
116,79.91
117,79.9
118,79.84
119,79.88
120,79.78
121,79.9
122,79.81
123,79.93
124,79.88
125,79.79
126,79.9
127,79.99
128,79.87
129,79.95
130,79.85
131,79.97
132,79.96
133,79.93
134,79.99
135,79.85
136,79.78
137,79.93
138,80.07
139,79.89
140,79.84
141,79.9
142,79.94
143,79.93
144,79.92
145,79.79
146,79.93
147,79.84
148,79.86
149,79.93
150,79.99
151,79.89
152,79.95
153,79.96
154,79.91
155,79.87
156,79.88
157,79.99
158,79.9
159,79.89
160,79.99
161,79.9
162,79.9
163,79.98
164,79.94
165,79.95
166,79.89
167,79.95
168,79.97
169,79.97
170,79.92
171,80.04
172,80.01
173,79.86
174,79.88
175,79.95
176,79.9
177,79.97
178,79.96
179,79.81
180,79.95
181,79.98
182,79.89
183,79.97
184,79.99
185,79.9
186,79.99
187,80.03
188,80.02
189,80.01
190,80.0
191,79.97
192,80.02
193,79.98
194,79.87
195,79.81
196,79.9
197,80.01
198,79.92
199,79.97
200,79.96
201,80.01
202,79.98
203,79.97
204,79.84
205,79.97
206,79.99
207,79.94
208,79.9
209,79.95
210,79.86
211,79.87
212,79.95
213,79.8
214,79.81
215,80.02
216,80.0
217,79.94
218,79.98
219,79.91
220,80.0
221,79.87
222,79.95
223,80.0
224,79.97
225,80.06
226,80.05
227,79.92
228,79.91
229,79.94
230,79.92
231,80.02
232,80.11
233,79.96
234,79.98
235,80.1
236,79.86
237,79.95
238,79.94
239,80.0
240,80.05
241,80.01
242,79.91
243,79.94
244,79.99
245,80.03
246,80.0
247,79.93
248,80.07
249,79.97
250,80.06
251,79.98
252,80.05
253,80.06
254,79.98
255,79.9
256,79.98
257,79.98
258,79.93
259,79.89
260,80.0
261,80.02
262,79.83
263,79.99
264,79.95
265,80.07
266,79.99
267,80.08
268,79.93
269,79.93
270,80.04
271,79.96
272,79.96
273,80.1
274,79.98
275,80.07
276,79.79
277,80.06
278,79.97
279,79.96
280,79.88
281,79.99
282,80.0
283,79.91
284,79.91
285,80.05
286,80.02
287,80.04
288,80.1
289,80.0
290,79.83
291,80.11
292,80.07
293,79.94
294,79.96
295,79.95
296,80.0
297,79.87
298,79.95
299,79.92
300,79.99
301,80.13
302,80.15
303,79.96
304,79.97
305,80.05
306,79.91
307,80.03
308,80.03
309,80.11
310,80.11
311,80.02
312,80.03
313,79.98
314,79.95
315,79.9
316,80.1
317,80.18
318,80.13
319,79.97
320,80.0
321,80.08
322,80.06
323,80.17
324,80.07
325,80.07
326,80.01
327,80.11
328,80.07
329,80.13
330,80.2
331,80.04
332,80.18
333,80.07
334,80.09
335,80.21
336,80.16
337,80.05
338,80.04
339,80.03
340,80.13
341,80.18
342,80.13
343,80.14
344,80.21
345,80.17
346,80.13
347,80.19
348,80.13
349,80.21
350,80.02
351,80.21
352,80.14
353,80.32
354,80.13
355,80.22
356,80.15
357,80.16
358,80.23
359,80.26
360,80.41
361,80.23
362,80.17
363,80.29
364,80.42
365,80.2
366,80.17
367,79.92
368,80.06
369,80.01
370,80.07
371,80.07
372,80.09
373,80.15
374,80.12
375,80.15
376,80.12
377,80.25
378,80.07
379,79.91
380,80.1
381,80.15
382,80.2
