,0
0,20.57
1,66.7
2,78.68
3,81.58
4,83.67
5,85.19
6,86.56
7,86.98
8,87.56
9,87.75
10,88.31
11,88.29
12,88.68
13,88.89
14,89.1
15,89.07
16,89.4
17,89.68
18,89.97
19,90.23
20,89.96
21,90.12
22,90.35
23,90.32
24,90.06
25,90.18
26,90.14
27,90.4
28,90.31
29,90.76
30,90.45
31,90.46
32,90.51
33,90.62
34,90.66
35,90.55
36,90.46
37,90.9
38,90.6
39,90.82
40,90.76
41,90.86
42,90.73
43,90.86
44,90.9
45,90.54
46,91.04
47,90.91
48,90.89
49,90.79
50,90.92
51,91.08
52,91.1
53,90.97
54,90.95
55,90.99
56,91.01
57,91.05
58,90.98
59,90.99
60,90.98
61,90.96
62,90.95
63,90.89
64,90.95
65,91.1
66,90.93
67,90.93
68,90.97
69,90.87
70,90.94
71,90.92
72,90.97
73,90.95
74,90.97
75,90.93
76,90.91
77,90.98
78,90.9
79,90.97
80,90.96
81,90.98
82,91.02
83,91.03
84,90.99
85,91.0
86,90.97
87,90.97
88,90.98
89,90.93
90,90.95
91,90.94
92,90.92
93,90.95
94,90.94
95,90.95
96,90.95
97,90.95
98,90.93
99,90.94
