,0
0,15.25
1,22.75
2,31.83
3,38.1
4,43.78
5,43.62
6,48.47
7,50.78
8,51.38
9,51.88
10,51.66
11,53.48
12,51.74
13,54.42
14,54.62
15,54.41
16,55.31
17,54.93
18,54.69
19,54.74
20,56.0
21,56.48
22,54.04
23,55.46
24,53.89
25,55.66
26,55.63
27,54.5
28,52.75
29,54.94
30,53.53
31,53.54
32,54.31
33,54.26
34,54.77
35,54.53
36,55.8
37,55.26
38,55.81
39,53.29
40,57.44
41,54.51
42,55.9
43,56.32
44,57.0
45,56.57
46,56.99
47,57.31
48,55.77
49,56.47
50,57.76
51,56.86
52,56.29
53,57.02
54,57.46
55,57.38
56,58.24
57,58.16
58,58.24
59,59.78
60,59.08
61,59.95
62,59.56
63,59.89
64,60.14
65,60.2
66,60.65
67,60.28
68,61.28
69,61.41
70,61.96
71,62.09
72,61.82
73,62.11
74,62.47
75,62.22
76,62.41
77,62.55
78,62.79
79,62.7
80,62.57
81,63.14
82,63.16
83,63.42
84,63.31
85,63.27
86,63.63
87,63.54
88,63.95
89,63.7
90,63.69
91,63.76
92,64.01
93,63.85
94,64.0
95,63.98
96,63.94
97,63.86
98,63.89
99,64.03
