,0
0,14.3
1,51.91
2,67.82
3,70.27
4,70.21
5,78.01
6,80.4
7,80.11
8,79.8
9,80.42
10,80.74
11,80.25
12,79.15
13,79.6
14,79.08
15,80.01
16,79.9
17,79.02
18,79.41
19,78.43
20,78.08
21,77.65
22,78.09
23,76.96
24,77.02
25,76.74
26,74.73
27,76.64
28,76.24
29,76.04
30,75.3
31,75.19
32,73.32
33,73.64
34,74.14
35,74.15
36,73.52
37,73.71
38,73.26
39,71.72
40,71.29
41,74.91
42,79.84
43,82.99
44,83.13
45,83.2
46,83.05
47,83.2
48,83.14
49,83.23
50,83.37
51,83.21
52,83.24
53,83.17
54,83.3
55,82.92
56,82.99
57,82.99
58,82.99
59,83.01
60,83.06
61,82.93
62,82.95
63,82.9
64,82.76
65,82.92
66,82.92
67,82.81
68,82.89
69,82.8
70,82.85
71,82.75
72,82.85
73,82.82
74,82.73
75,82.72
76,82.65
77,82.72
78,82.71
79,82.7
80,82.71
81,82.75
82,82.75
83,82.77
84,82.76
85,82.74
86,82.78
87,82.8
88,82.75
89,82.77
90,82.77
91,82.74
92,82.78
93,82.77
94,82.77
95,82.77
96,82.77
97,82.77
98,82.77
99,82.77
