,0
0,25.72
1,39.54
2,57.0
3,61.09
4,53.26
5,58.9
6,55.96
7,64.25
8,61.42
9,62.92
10,67.83
11,69.63
12,71.3
13,71.39
14,70.53
15,70.75
16,70.76
17,70.98
18,70.71
19,70.04
20,69.46
21,69.04
22,68.95
23,68.41
24,68.35
25,68.32
26,67.83
27,67.03
28,66.46
29,66.34
30,65.94
31,64.92
32,64.31
33,63.6
34,60.04
35,61.62
36,58.13
37,66.72
38,66.93
39,70.48
40,71.67
41,72.22
42,72.33
43,72.22
44,72.34
45,72.29
46,72.44
47,72.37
48,72.1
49,71.97
50,72.01
51,71.96
52,71.87
53,71.69
54,71.48
55,71.37
56,71.24
57,71.13
58,71.0
59,70.64
60,70.44
61,70.31
62,70.24
63,70.21
64,70.05
65,69.78
66,69.75
67,69.74
68,69.67
69,69.69
70,69.56
71,69.55
72,69.55
73,69.54
74,69.53
75,69.47
76,69.42
77,69.44
78,69.45
79,69.4
80,69.34
81,69.35
82,69.33
83,69.35
84,69.35
85,69.41
86,69.4
87,69.43
88,69.4
89,69.44
90,69.45
91,69.5
92,69.51
93,69.54
94,69.51
95,69.56
96,69.57
97,69.58
98,69.57
99,69.57
