,0
0,22.17
1,42.95
2,46.63
3,48.86
4,55.87
5,57.33
6,61.43
7,61.25
8,67.92
9,69.83
10,70.16
11,70.11
12,70.73
13,70.13
14,70.97
15,71.17
16,71.19
17,71.31
18,71.19
19,70.34
20,70.79
21,70.43
22,70.33
23,69.89
24,70.05
25,69.75
26,68.91
27,68.83
28,68.66
29,68.62
30,67.88
31,67.09
32,66.38
33,65.67
34,65.29
35,64.84
36,64.64
37,57.34
38,57.47
39,65.52
40,61.81
41,72.72
42,73.49
43,73.73
44,73.64
45,73.94
46,74.12
47,73.89
48,73.88
49,74.17
50,74.05
51,74.09
52,74.02
53,74.16
54,74.2
55,74.07
56,74.0
57,74.1
58,74.03
59,74.1
60,73.86
61,73.94
62,73.98
63,73.83
64,73.73
65,73.62
66,73.67
67,73.58
68,73.51
69,73.48
70,73.42
71,73.36
72,73.34
73,73.27
74,73.32
75,73.07
76,73.03
77,72.99
78,73.09
79,73.03
80,73.0
81,73.04
82,73.04
83,73.03
84,72.96
85,72.99
86,72.96
87,72.97
88,72.98
89,72.95
90,72.94
91,72.92
92,72.93
93,72.91
94,72.9
95,72.87
96,72.88
97,72.88
98,72.87
99,72.86
