,0
0,42.83
1,56.62
2,68.34
3,71.36
4,73.66
5,74.43
6,77.01
7,75.07
8,75.05
9,76.92
10,79.58
11,78.9
12,74.2
13,76.97
14,80.41
15,74.52
16,78.8
17,79.35
18,81.61
19,75.87
20,80.78
21,81.34
22,75.8
23,82.95
24,80.81
25,73.85
26,77.15
27,83.3
28,78.29
29,78.75
30,77.59
31,77.38
32,79.8
33,80.31
34,78.88
35,79.8
36,80.64
37,83.57
38,82.84
39,81.65
40,79.55
41,82.03
42,84.26
43,81.75
44,79.68
45,82.95
46,83.63
47,83.18
48,82.1
49,83.67
50,81.6
51,82.9
52,79.92
53,80.58
54,83.48
55,83.68
56,82.95
57,84.15
58,82.01
59,84.74
60,83.82
61,82.36
62,82.9
63,82.33
64,82.64
65,84.7
66,83.81
67,83.8
68,82.96
69,84.94
70,85.33
71,84.92
72,83.72
73,84.32
74,84.16
75,85.29
76,84.21
77,84.3
78,84.3
79,84.22
80,84.5
81,84.84
82,84.99
83,84.69
84,84.51
85,84.24
86,84.56
87,84.63
88,84.62
89,84.63
90,84.63
91,84.11
92,84.24
93,84.2
94,84.29
95,83.99
96,84.04
97,84.01
98,84.1
99,84.04
