,0
0,11.01
1,39.03
2,64.39
3,71.51
4,67.31
5,68.19
6,66.08
7,73.27
8,75.91
9,75.79
10,73.85
11,75.66
12,78.66
13,74.77
14,79.63
15,76.44
16,78.67
17,78.6
18,82.1
19,83.87
20,73.31
21,77.19
22,81.07
23,84.08
24,76.26
25,79.26
26,81.99
27,82.87
28,82.28
29,82.38
30,82.84
31,79.1
32,78.96
33,78.65
34,84.61
35,84.57
36,82.33
37,84.51
38,84.63
39,81.44
40,82.71
41,80.47
42,84.11
43,85.21
44,82.26
45,81.51
46,85.04
47,84.06
48,79.41
49,83.23
50,83.03
51,84.76
52,81.51
53,85.81
54,84.69
55,84.55
56,83.98
57,85.13
58,86.33
59,81.66
60,84.73
61,86.61
62,86.44
63,86.28
64,86.22
65,85.12
66,85.23
67,84.87
68,86.65
69,85.64
70,85.29
71,85.7
72,86.54
73,86.23
74,86.12
75,86.67
76,86.77
77,86.57
78,86.78
79,86.85
80,86.66
81,86.26
82,86.18
83,86.42
84,86.3
85,86.32
86,85.92
87,86.18
88,86.16
89,86.13
90,86.13
91,86.08
92,86.2
93,86.18
94,86.27
95,85.97
96,85.97
97,85.91
98,85.94
99,85.95
