,0
0,7.429393008351326e-05
1,7.274327799677849e-05
2,6.19618222117424e-05
3,5.4182019084692e-05
4,6.106076762080193e-05
5,5.0430186092853546e-05
6,4.847114905714989e-05
7,6.497791036963463e-05
8,4.882272332906723e-05
9,2.4281907826662064e-05
10,1.8263235688209534e-05
11,2.862699329853058e-05
12,1.9430182874202728e-05
13,2.7942005544900894e-05
14,2.2914260625839233e-05
15,2.6073772460222244e-05
16,2.3129861801862717e-05
17,2.4271197617053986e-05
18,3.4108757972717285e-05
19,2.625398337841034e-05
20,1.5486963093280792e-05
21,2.1838117390871048e-05
22,2.5603920221328735e-05
23,2.1824147552251816e-05
24,2.5043264031410217e-05
25,2.47112475335598e-05
26,2.7457717806100845e-05
27,3.0292663723230362e-05
28,2.1466054022312164e-05
29,2.6904046535491943e-05
30,2.057710662484169e-05
31,1.602526754140854e-05
32,1.9931234419345856e-05
33,2.8104055672883987e-05
34,1.9797123968601227e-05
35,3.67090106010437e-05
36,2.378597855567932e-05
37,2.599414438009262e-05
38,2.3552216589450836e-05
39,2.4329405277967453e-05
40,2.3107975721359253e-05
41,2.507166936993599e-05
42,1.1475291103124619e-05
43,1.9351951777935028e-05
44,2.8322916477918625e-05
45,1.8011312931776047e-05
46,2.5992747396230698e-05
47,2.672988921403885e-05
48,2.722814679145813e-05
49,2.6728957891464233e-05
50,3.4393277019262314e-05
51,2.4303793907165527e-05
52,2.2280029952526093e-05
53,1.28941610455513e-05
54,1.7012003809213638e-05
55,2.860836684703827e-05
56,1.9765924662351608e-05
57,2.5820918381214142e-05
58,1.92299485206604e-05
59,2.4940818548202515e-05
60,2.105114981532097e-05
61,1.9964762032032013e-05
62,2.805003896355629e-05
63,2.175290137529373e-05
64,1.193210482597351e-05
65,1.8961261957883835e-05
66,2.5727786123752594e-05
67,1.9913073629140854e-05
68,2.584001049399376e-05
69,2.321787178516388e-05
70,2.4034641683101654e-05
71,2.2985972464084625e-05
72,2.655060961842537e-05
73,2.455012872815132e-05
74,2.0498409867286682e-05
75,1.3818033039569855e-05
76,1.5523750334978104e-05
77,2.6401132345199585e-05
78,1.2869946658611298e-05
79,2.4762935936450958e-05
80,2.3981090635061264e-05
81,2.7519650757312775e-05
82,2.309819683432579e-05
83,2.319086343050003e-05
84,2.4374108761548996e-05
85,2.1324027329683304e-05
86,1.3391952961683273e-05
87,1.7818063497543335e-05
88,3.0028168112039566e-05
89,1.850910484790802e-05
90,2.5803688913583755e-05
91,2.011191099882126e-05
92,2.5968067348003387e-05
93,2.2558029741048813e-05
94,2.1468382328748703e-05
95,2.383394166827202e-05
96,2.115825191140175e-05
97,1.3463199138641357e-05
98,2.236524596810341e-05
99,2.7374830096960068e-05
100,1.8209684640169144e-05
101,3.8123223930597305e-05
102,2.2875145077705383e-05
103,3.043701872229576e-05
104,2.0813196897506714e-05
105,1.9210856407880783e-05
106,2.3650936782360077e-05
107,2.247607335448265e-05
108,1.189112663269043e-05
109,2.0931940525770187e-05
110,2.676062285900116e-05
111,1.9451137632131577e-05
112,2.6986002922058105e-05
113,2.1375715732574463e-05
114,2.7844682335853577e-05
115,2.0827632397413254e-05
116,1.9813887774944305e-05
117,3.806594759225845e-05
118,2.5274697691202164e-05
119,1.2944918125867844e-05
120,1.5443190932273865e-05
121,2.7813948690891266e-05
122,2.050120383501053e-05
123,2.615479752421379e-05
124,2.4232082068920135e-05
125,2.630706876516342e-05
126,2.164021134376526e-05
127,2.253381535410881e-05
128,2.639181911945343e-05
129,2.0609702914953232e-05
130,1.2475065886974335e-05
131,1.8623191863298416e-05
132,2.7247238904237747e-05
133,1.89952552318573e-05
134,2.4239998310804367e-05
135,2.2780150175094604e-05
136,2.8123147785663605e-05
137,2.3663043975830078e-05
138,2.41999514400959e-05
139,2.3963861167430878e-05
140,2.270517870783806e-05
141,1.2913718819618225e-05
142,1.9137747585773468e-05
143,4.3726060539484024e-05
144,1.71000137925148e-05
145,2.3880042135715485e-05
146,2.319691702723503e-05
147,2.5070738047361374e-05
148,2.2333115339279175e-05
149,3.1697098165750504e-05
150,2.384604886174202e-05
151,2.0112842321395874e-05
152,1.1350959539413452e-05
153,1.837080344557762e-05
154,2.914760261774063e-05
155,1.8517952412366867e-05
156,2.4978071451187134e-05
157,2.129795029759407e-05
158,2.9781833291053772e-05
159,2.02828086912632e-05
160,2.616504207253456e-05
161,2.4034176021814346e-05
162,2.3787841200828552e-05
163,1.1922791600227356e-05
164,1.851934939622879e-05
165,3.0178111046552658e-05
166,1.9233673810958862e-05
167,3.537489101290703e-05
168,2.5923829525709152e-05
169,2.6717782020568848e-05
170,2.1352898329496384e-05
171,2.5657005608081818e-05
172,2.299109473824501e-05
173,2.3526139557361603e-05
174,1.3296958059072495e-05
175,2.167094498872757e-05
176,2.6188325136899948e-05
177,1.733284443616867e-05
178,2.6454217731952667e-05
179,2.8024893254041672e-05
180,2.7718953788280487e-05
181,2.5535933673381805e-05
182,2.3626722395420074e-05
183,2.4240929633378983e-05
184,2.3712869733572006e-05
185,1.3241078704595566e-05
186,2.5130808353424072e-05
187,2.657901495695114e-05
188,1.752423122525215e-05
189,2.6580877602100372e-05
190,2.247607335448265e-05
191,2.646585926413536e-05
192,2.2737309336662292e-05
193,2.56979838013649e-05
194,2.5463756173849106e-05
195,2.603325992822647e-05
196,1.2549106031656265e-05
197,2.296408638358116e-05
198,2.8593000024557114e-05
199,1.545669510960579e-05
200,4.234118387103081e-05
201,2.8396956622600555e-05
202,2.6559922844171524e-05
203,1.7564743757247925e-05
204,2.1078158169984818e-05
205,3.559235483407974e-05
206,2.054590731859207e-05
207,1.1204276233911514e-05
208,2.826191484928131e-05
209,2.715596929192543e-05
210,1.4357268810272217e-05
211,2.062879502773285e-05
212,2.1591782569885254e-05
213,2.512289211153984e-05
214,2.0205043256282806e-05
215,1.844903454184532e-05
216,2.076476812362671e-05
217,1.512095332145691e-05
218,9.525101631879807e-06
219,1.604761928319931e-05
220,2.3891683667898178e-05
221,1.7123762518167496e-05
222,2.0552892237901688e-05
223,1.963367685675621e-05
224,2.4248380213975906e-05
225,2.198014408349991e-05
226,1.9263941794633865e-05
227,2.016080543398857e-05
228,1.774914562702179e-05
229,9.091105312108994e-06
230,1.6319099813699722e-05
231,2.5913119316101074e-05
232,1.4858786016702652e-05
233,2.323416993021965e-05
234,2.031121402978897e-05
235,2.256501466035843e-05
236,1.8886756151914597e-05
237,1.8854159861803055e-05
238,2.243323251605034e-05
239,1.9269995391368866e-05
240,9.169336408376694e-06
241,1.7943326383829117e-05
242,2.7680303901433945e-05
243,1.8118415027856827e-05
244,2.244766801595688e-05
