,0
0,3.677094355225563e-06
1,2.2689346224069595e-06
2,2.1730083972215652e-06
3,2.9730144888162613e-06
4,1.8598511815071106e-06
5,6.409827619791031e-07
6,1.9138678908348083e-06
7,1.695007085800171e-06
8,1.6998965293169022e-06
9,5.229376256465912e-07
10,8.220411837100983e-05
11,6.1793252825737e-07
12,1.9620638340711594e-06
13,1.6279518604278564e-06
14,1.5618279576301575e-06
15,6.009358912706375e-07
16,1.6780104488134384e-06
17,1.5848781913518906e-06
18,5.408655852079391e-07
19,4.880130290985107e-07
20,7.852097041904926e-05
21,6.190966814756393e-07
22,2.5238841772079468e-06
23,5.459878593683243e-07
24,5.490146577358246e-07
25,5.981419235467911e-07
26,2.322020009160042e-06
27,5.180481821298599e-07
28,4.828907549381256e-07
29,3.310851752758026e-07
30,9.383680298924446e-05
31,1.0360963642597198e-06
32,6.1793252825737e-07
33,5.131587386131287e-07
34,5.42961061000824e-07
35,9.26898792386055e-07
36,5.799811333417892e-07
37,4.5890919864177704e-07
38,5.138572305440903e-07
39,5.369074642658234e-07
40,6.840704008936882e-05
41,6.488990038633347e-07
42,6.370246410369873e-07
43,4.700850695371628e-07
44,4.5006163418293e-07
45,3.91155481338501e-07
46,5.047768354415894e-07
47,4.849862307310104e-07
48,4.810281097888947e-07
49,4.470348358154297e-07
50,7.165409624576569e-05
51,6.139744073152542e-07
52,5.068723112344742e-07
53,5.611218512058258e-07
54,6.32135197520256e-07
55,5.67873939871788e-07
56,7.420312613248825e-07
57,5.059409886598587e-07
58,6.130430847406387e-07
59,5.180481821298599e-07
60,8.873408660292625e-05
61,2.0668376237154007e-06
62,2.408865839242935e-06
63,1.7730053514242172e-06
64,2.3690517991781235e-06
65,6.239861249923706e-07
66,1.661013811826706e-06
67,4.169996827840805e-07
68,1.602107658982277e-06
69,3.6391429603099823e-07
70,8.045090362429619e-05
71,6.079208105802536e-07
72,7.369089871644974e-07
73,5.098991096019745e-07
74,1.8368009477853775e-06
75,5.150213837623596e-07
76,1.9329600036144257e-06
77,5.25033101439476e-07
78,5.029141902923584e-07
79,4.260800778865814e-07
80,9.057694114744663e-05
81,6.16069883108139e-07
82,1.9210856407880783e-06
83,1.6470439732074738e-06
84,1.8069986253976822e-06
85,8.419156074523926e-07
86,5.748588591814041e-07
87,1.650070771574974e-06
88,5.08967787027359e-07
89,4.421453922986984e-07
90,7.83940777182579e-05
91,1.6819685697555542e-06
92,1.553911715745926e-06
93,6.649643182754517e-07
94,1.7290003597736359e-06
95,1.835869625210762e-06
96,1.6870908439159393e-06
97,5.192123353481293e-07
98,4.6798959374427795e-07
99,6.42845407128334e-07
100,7.675588130950928e-05
101,7.990747690200806e-07
102,1.8940772861242294e-06
103,5.490146577358246e-07
104,1.9059516489505768e-06
105,2.005835995078087e-06
106,1.5660189092159271e-06
107,5.341134965419769e-07
108,4.770699888467789e-07
109,6.021000444889069e-07
110,8.041411638259888e-05
111,1.741107553243637e-06
112,2.186046913266182e-06
113,5.639158189296722e-07
114,2.0011793822050095e-06
115,1.5599653124809265e-06
116,1.6130506992340088e-06
117,1.768115907907486e-06
118,1.3671815395355225e-06
119,4.1606836020946503e-07
120,8.655502460896969e-05
121,1.7629936337471008e-06
122,1.6489066183567047e-06
123,1.5189871191978455e-06
124,5.529727786779404e-07
125,1.5280675143003464e-06
126,5.229376256465912e-07
127,1.359032467007637e-06
128,5.278270691633224e-07
129,4.6496279537677765e-07
130,0.00011613196693360806
131,3.6640558391809464e-06
132,5.54695725440979e-06
133,3.720168024301529e-06
134,1.2409873306751251e-06
135,4.441943019628525e-06
136,1.200009137392044e-06
137,4.6459026634693146e-06
138,1.093139871954918e-06
139,1.0009389370679855e-06
140,8.22779256850481e-05
141,2.3120082914829254e-06
142,1.6600824892520905e-06
143,2.169981598854065e-06
144,1.8151476979255676e-06
145,6.00004568696022e-07
146,1.7918646335601807e-06
147,1.6940757632255554e-06
148,8.561182767152786e-07
149,4.360917955636978e-07
150,0.00010559894144535065
151,6.919726729393005e-07
152,2.402113750576973e-06
153,1.8829014152288437e-06
154,6.430782377719879e-07
155,1.818174496293068e-06
156,2.1329615265130997e-06
157,1.718057319521904e-06
158,5.341134965419769e-07
159,4.819594323635101e-07
160,8.851406164467335e-05
161,1.5120021998882294e-06
162,1.493142917752266e-06
163,1.5299301594495773e-06
164,1.552049070596695e-06
165,1.7639249563217163e-06
166,6.109476089477539e-07
167,5.690380930900574e-07
168,4.949979484081268e-07
169,5.438923835754395e-07
170,8.192495442926884e-05
171,1.7790589481592178e-06
172,2.440996468067169e-06
173,5.310866981744766e-07
174,4.700850695371628e-07
175,5.238689482212067e-07
176,1.5741679817438126e-06
177,1.7909333109855652e-06
178,5.019828677177429e-07
179,4.109460860490799e-07
180,7.387599907815456e-05
181,9.57166776061058e-07
182,1.8361024558544159e-06
183,7.080379873514175e-07
184,1.7420388758182526e-06
185,1.7690472304821014e-06
186,2.101995050907135e-06
187,5.881302058696747e-07
188,4.949979484081268e-07
189,3.341119736433029e-07
190,7.798289880156517e-05
191,6.540212780237198e-07
192,1.8489081412553787e-06
193,1.5441328287124634e-06
194,1.6621779650449753e-06
195,5.050096660852432e-07
196,2.120155841112137e-06
197,4.6589411795139313e-07
198,4.00003045797348e-07
199,4.6892091631889343e-07
200,7.759104482829571e-05
201,5.75091689825058e-07
202,2.6531051844358444e-06
203,2.050073817372322e-06
204,1.9047874957323074e-06
205,6.798654794692993e-07
206,1.877080649137497e-06
207,1.6461126506328583e-06
208,1.711072400212288e-06
209,4.391185939311981e-07
210,8.382904343307018e-05
211,1.911073923110962e-06
212,2.8759241104125977e-06
213,2.0151492208242416e-06
214,1.9189901649951935e-06
215,6.2515027821064e-07
216,1.6940757632255554e-06
217,2.5150366127490997e-06
218,1.2789154425263405e-05
219,4.7497451305389404e-07
220,8.386909030377865e-05
221,6.719492375850677e-07
222,9.408686310052872e-07
223,6.188638508319855e-07
224,5.119945853948593e-07
225,6.619375199079514e-07
226,5.529727786779404e-07
227,6.07222318649292e-07
228,4.461035132408142e-07
229,4.17931005358696e-07
230,6.966711953282356e-05
231,5.848705768585205e-07
