,0
0,6.572762504220009e-05
1,4.8424117267131805e-05
2,4.173768684267998e-05
3,2.9471702873706818e-05
4,3.535998985171318e-05
5,2.2081192582845688e-05
6,2.278899773955345e-05
7,2.8168782591819763e-05
8,2.3911241441965103e-05
9,8.112285286188126e-06
10,5.22565096616745e-06
11,2.899300307035446e-05
12,2.4382956326007843e-05
13,2.6034191250801086e-05
14,2.0110979676246643e-05
15,1.8547289073467255e-05
16,1.1686235666275024e-05
17,1.5074852854013443e-05
18,1.77077017724514e-05
19,1.1818017810583115e-05
20,3.202352672815323e-06
21,4.564877599477768e-06
22,3.912113606929779e-05
23,2.989731729030609e-05
24,3.589596599340439e-05
25,2.1033920347690582e-05
26,2.6632100343704224e-05
27,1.784367486834526e-05
28,1.4364253729581833e-05
29,2.3224391043186188e-05
30,1.6322825103998184e-05
31,2.562999725341797e-06
32,4.927162081003189e-06
33,3.0776020139455795e-05
34,2.3519154638051987e-05
35,2.7175992727279663e-05
36,1.5457160770893097e-05
37,2.3495405912399292e-05
38,1.1389609426259995e-05
39,1.3304874300956726e-05
40,1.8454622477293015e-05
41,1.2813135981559753e-05
42,2.468004822731018e-06
43,5.786307156085968e-06
44,3.0034687370061874e-05
45,2.1385960280895233e-05
46,2.34837643802166e-05
47,1.5122350305318832e-05
48,2.255011349916458e-05
49,1.3242010027170181e-05
50,1.829676330089569e-05
51,2.4981796741485596e-05
52,1.2360978871583939e-05
53,3.200024366378784e-06
54,4.723202437162399e-06
55,3.553787246346474e-05
56,2.2753141820430756e-05
57,2.5671906769275665e-05
58,1.667579635977745e-05
59,2.393685281276703e-05
60,1.3607088476419449e-05
61,1.6944948583841324e-05
62,2.3043714463710785e-05
63,1.3245269656181335e-05
64,2.534128725528717e-06
65,4.9280934035778046e-06
66,3.5886187106370926e-05
67,2.3469794541597366e-05
68,2.7967151254415512e-05
69,1.5203841030597687e-05
70,1.724204048514366e-05
71,1.2638047337532043e-05
72,1.3432931154966354e-05
73,1.8653925508260727e-05
74,1.1667143553495407e-05
75,2.41817906498909e-06
76,4.71901148557663e-06
77,3.802496939897537e-05
78,2.6165973395109177e-05
79,3.171805292367935e-05
80,1.7686281353235245e-05
81,2.498924732208252e-05
82,1.6544945538043976e-05
83,1.8223188817501068e-05
84,2.3966189473867416e-05
85,1.4517921954393387e-05
86,3.2708048820495605e-06
87,6.294809281826019e-06
88,3.114994615316391e-05
89,2.026837319135666e-05
90,1.9413884729146957e-05
91,2.2659078240394592e-05
92,2.3859087377786636e-05
93,1.3051088899374008e-05
94,1.5484169125556946e-05
95,2.0060688257217407e-05
96,1.1255033314228058e-05
97,2.5490298867225647e-06
98,4.847999662160873e-06
99,2.8452835977077484e-05
100,2.1777581423521042e-05
101,2.4129170924425125e-05
102,1.5356112271547318e-05
103,1.9554048776626587e-05
104,1.171184703707695e-05
105,1.5409663319587708e-05
106,2.0969193428754807e-05
107,1.1797994375228882e-05
108,2.6710331439971924e-06
109,5.082227289676666e-06
110,3.727804869413376e-05
111,2.113915979862213e-05
112,2.1725427359342575e-05
113,1.5978235751390457e-05
114,2.1182000637054443e-05
115,1.1691823601722717e-05
116,1.5243887901306152e-05
117,1.9391998648643494e-05
118,1.687975600361824e-05
119,2.7623027563095093e-06
120,4.937406629323959e-06
121,3.2498035579919815e-05
122,2.464279532432556e-05
123,2.296222373843193e-05
124,1.5668105334043503e-05
125,2.017524093389511e-05
126,1.3418029993772507e-05
127,1.2739095836877823e-05
128,2.1098647266626358e-05
129,1.3175886124372482e-05
130,3.388151526451111e-06
131,4.482921212911606e-06
132,3.4102704375982285e-05
133,2.4495180696249008e-05
134,2.0523089915513992e-05
135,1.527089625597e-05
136,2.0273029804229736e-05
137,1.2685079127550125e-05
138,1.3154931366443634e-05
139,2.27978453040123e-05
140,1.0075047612190247e-05
141,2.380926162004471e-06
142,4.331115633249283e-06
143,3.2835640013217926e-05
144,2.1840911358594894e-05
145,2.4376902729272842e-05
146,1.7439015209674835e-05
147,1.9395258277654648e-05
148,1.1819880455732346e-05
149,1.4534685760736465e-05
150,2.1981075406074524e-05
151,1.1964235454797745e-05
152,4.252884536981583e-06
153,5.184672772884369e-06
154,3.07522714138031e-05
155,2.126488834619522e-05
156,2.5014858692884445e-05
157,1.4081131666898727e-05
158,1.89351849257946e-05
159,1.0866206139326096e-05
160,1.6615260392427444e-05
161,2.4235807359218597e-05
162,1.2973323464393616e-05
163,2.975109964609146e-06
164,4.774890840053558e-06
165,3.239000216126442e-05
166,2.193218097090721e-05
167,2.334313467144966e-05
168,1.506926491856575e-05
169,2.2965949028730392e-05
170,1.2326985597610474e-05
171,1.4007557183504105e-05
172,2.153078094124794e-05
173,1.0262709110975266e-05
174,2.7259811758995056e-06
175,5.230773240327835e-06
176,3.3523887395858765e-05
177,2.5520101189613342e-05
178,2.4232082068920135e-05
179,1.4934688806533813e-05
180,2.044113352894783e-05
181,1.2416858226060867e-05
182,1.4217104762792587e-05
183,1.962529495358467e-05
184,1.1570751667022705e-05
185,2.435874193906784e-06
186,5.775131285190582e-06
187,3.21781262755394e-05
188,2.31890007853508e-05
189,2.191588282585144e-05
190,1.5220139175653458e-05
191,1.9451603293418884e-05
192,1.268601045012474e-05
193,1.703202724456787e-05
194,2.1107029169797897e-05
195,1.2340955436229706e-05
196,2.7762725949287415e-06
197,4.816334694623947e-06
198,3.297114744782448e-05
199,2.501392737030983e-05
200,2.681603655219078e-05
201,1.4709774404764175e-05
202,1.843087375164032e-05
203,1.3950280845165253e-05
204,1.4923978596925735e-05
205,2.0727049559354782e-05
206,1.168297603726387e-05
207,2.639833837747574e-06
208,5.013775080442429e-06
209,3.3183954656124115e-05
210,2.1174084395170212e-05
211,2.7101021260023117e-05
212,1.5980098396539688e-05
213,2.2581778466701508e-05
214,1.3581942766904831e-05
215,1.4389865100383759e-05
216,2.0999927073717117e-05
217,1.2608710676431656e-05
218,2.596992999315262e-06
219,4.7548674046993256e-06
220,3.451993688941002e-05
221,2.0513776689767838e-05
222,2.3690983653068542e-05
223,1.6044825315475464e-05
224,1.810304820537567e-05
225,1.4658086001873016e-05
226,1.3510696589946747e-05
227,2.042902633547783e-05
228,1.2964941561222076e-05
229,2.9001384973526e-06
230,5.202833563089371e-06
231,3.459816798567772e-05
232,2.1772924810647964e-05
233,2.336828038096428e-05
234,1.6448087990283966e-05
235,1.9919127225875854e-05
236,1.4841090887784958e-05
237,1.4180783182382584e-05
238,2.1758023649454117e-05
239,1.2600794434547424e-05
240,3.1711533665657043e-06
241,5.058944225311279e-06
242,3.828899934887886e-05
243,2.098875120282173e-05
244,2.797786146402359e-05
245,1.3987068086862564e-05
246,1.861806958913803e-05
247,1.4331191778182983e-05
248,1.5934929251670837e-05
249,1.8388032913208008e-05
250,1.2955162674188614e-05
251,3.1497329473495483e-06
252,4.51505184173584e-06
253,3.2114796340465546e-05
254,2.38749198615551e-05
255,8.06860625743866e-05
256,1.5381257981061935e-05
257,1.9741244614124298e-05
258,1.4299992471933365e-05
259,1.743389293551445e-05
260,2.1414831280708313e-05
261,1.0692048817873001e-05
262,2.5620684027671814e-06
263,4.8209913074970245e-06
264,3.0495692044496536e-05
265,2.2712163627147675e-05
266,2.3954082280397415e-05
267,1.5608035027980804e-05
268,2.1508894860744476e-05
269,1.2118835002183914e-05
270,1.4605000615119934e-05
271,2.211611717939377e-05
272,1.1146999895572662e-05
273,2.8670765459537506e-06
274,5.585141479969025e-06
275,3.103399649262428e-05
276,2.1530315279960632e-05
277,2.198200672864914e-05
278,1.6816891729831696e-05
279,1.8038321286439896e-05
280,1.2099742889404297e-05
281,1.5697907656431198e-05
282,1.8846243619918823e-05
283,1.3773329555988312e-05
284,2.8740614652633667e-06
285,4.9192458391189575e-06
286,3.2506417483091354e-05
287,2.3509375751018524e-05
288,3.0227936804294586e-05
289,1.585204154253006e-05
290,1.9112136214971542e-05
291,1.2814998626708984e-05
292,1.554703339934349e-05
293,2.2647902369499207e-05
294,1.0987743735313416e-05
295,2.60770320892334e-06
296,4.755798727273941e-06
297,3.405427560210228e-05
298,2.411799505352974e-05
299,3.690319135785103e-05
300,1.4551915228366852e-05
301,1.8266960978507996e-05
302,1.2986361980438232e-05
303,1.7814338207244873e-05
304,2.2277235984802246e-05
305,1.1187978088855743e-05
306,2.598855644464493e-06
307,7.322058081626892e-06
308,3.1847041100263596e-05
309,2.2386200726032257e-05
310,2.378597855567932e-05
311,1.3554003089666367e-05
312,2.0646024495363235e-05
313,1.0453164577484131e-05
314,1.5730038285255432e-05
315,1.947488635778427e-05
316,1.3566110283136368e-05
317,2.739951014518738e-06
318,5.459878593683243e-06
319,3.4182798117399216e-05
320,2.2840220481157303e-05
321,2.6211142539978027e-05
322,1.4804303646087646e-05
323,2.142973244190216e-05
324,1.5120021998882294e-05
325,1.3346318155527115e-05
326,2.1968036890029907e-05
327,1.1008232831954956e-05
328,2.566259354352951e-06
329,4.901085048913956e-06
330,3.124075010418892e-05
331,2.154102548956871e-05
332,2.277502790093422e-05
333,1.597730442881584e-05
334,2.0695384591817856e-05
335,1.367880031466484e-05
336,1.410115510225296e-05
337,2.209702506661415e-05
338,1.4438759535551071e-05
339,2.3618340492248535e-06
340,4.8531219363212585e-06
341,3.4053344279527664e-05
342,1.964392140507698e-05
343,2.474803477525711e-05
344,1.4008022844791412e-05
345,1.7611775547266006e-05
346,1.2573320418596268e-05
347,1.5350058674812317e-05
348,2.4368055164813995e-05
349,1.345016062259674e-05
350,2.750195562839508e-06
351,5.383044481277466e-06
352,3.414228558540344e-05
353,2.1565239876508713e-05
354,4.940014332532883e-05
355,1.718895509839058e-05
356,2.1391082555055618e-05
357,1.3052020221948624e-05
358,1.5468336641788483e-05
359,2.0903069525957108e-05
360,1.3661105185747147e-05
361,2.7623027563095093e-06
362,4.9551017582416534e-06
363,3.405893221497536e-05
364,2.288026735186577e-05
365,3.786012530326843e-05
366,1.6985926777124405e-05
367,1.909397542476654e-05
368,1.295609399676323e-05
369,1.5422236174345016e-05
370,2.0426232367753983e-05
371,1.2264121323823929e-05
372,2.6258639991283417e-06
373,5.388166755437851e-06
374,2.998393028974533e-05
375,2.475408837199211e-05
376,2.5067944079637527e-05
377,1.4245975762605667e-05
378,1.9742175936698914e-05
379,1.092720776796341e-05
380,1.2881122529506683e-05
381,2.0534265786409378e-05
382,1.2425240129232407e-05
383,2.759043127298355e-06
