,0
0,3.1006988137960434e-05
1,2.5484710931777954e-05
2,2.697063609957695e-05
3,1.7467886209487915e-05
4,1.9618775695562363e-05
5,1.9256025552749634e-05
6,9.753275662660599e-06
7,3.0392315238714218e-05
8,1.6934704035520554e-05
9,2.3976434022188187e-05
10,1.564808189868927e-05
11,2.148980274796486e-05
12,2.1632760763168335e-05
13,1.988327130675316e-05
14,9.638722985982895e-06
15,1.687370240688324e-05
16,1.5765894204378128e-05
17,1.0462012141942978e-05
18,1.663900911808014e-05
19,1.3984739780426025e-05
20,1.4957040548324585e-05
21,1.4071352779865265e-05
22,2.1502841264009476e-05
23,1.987908035516739e-05
24,2.037966623902321e-05
25,1.0007061064243317e-05
26,1.820456236600876e-05
27,1.6156118363142014e-05
28,1.0675285011529922e-05
29,1.7147045582532883e-05
30,1.560896635055542e-05
31,1.9206199795007706e-05
32,1.6036909073591232e-05
33,2.0133797079324722e-05
34,2.037081867456436e-05
35,3.464799374341965e-05
36,9.174924343824387e-06
37,1.756194978952408e-05
38,1.693563535809517e-05
39,1.0986346751451492e-05
40,1.7420854419469833e-05
41,1.781107857823372e-05
42,1.5519093722105026e-05
43,1.5691854059696198e-05
44,2.0451843738555908e-05
45,1.9629020243883133e-05
46,2.2063031792640686e-05
47,9.949784725904465e-06
48,1.4258082956075668e-05
49,1.691468060016632e-05
50,1.1111609637737274e-05
51,1.7906073480844498e-05
52,1.6153324395418167e-05
53,1.635868102312088e-05
54,1.3740267604589462e-05
55,2.1191313862800598e-05
56,1.833634451031685e-05
57,2.2976193577051163e-05
58,1.0746065527200699e-05
59,1.716194674372673e-05
60,1.538824290037155e-05
61,9.842682629823685e-06
62,1.6328878700733185e-05
63,1.740921288728714e-05
64,1.5642959624528885e-05
65,1.3879965990781784e-05
66,2.1564774215221405e-05
67,1.9249971956014633e-05
68,2.163788303732872e-05
69,9.124167263507843e-06
70,1.7322134226560593e-05
71,1.780688762664795e-05
72,1.0400079190731049e-05
73,1.576310023665428e-05
74,1.3326294720172882e-05
75,1.7203856259584427e-05
76,1.4726072549819946e-05
77,2.1047890186309814e-05
78,2.1037645637989044e-05
79,2.5016721338033676e-05
80,8.936040103435516e-06
81,1.5629921108484268e-05
82,1.7369166016578674e-05
83,1.0213814675807953e-05
84,1.6408972442150116e-05
85,1.836894080042839e-05
86,1.892494037747383e-05
87,1.4765653759241104e-05
88,2.1549873054027557e-05
89,1.8988270312547684e-05
90,2.2709835320711136e-05
91,9.802635759115219e-06
92,1.977197825908661e-05
93,1.4522112905979156e-05
94,1.1085066944360733e-05
95,1.620408147573471e-05
96,1.6709323972463608e-05
97,1.5185680240392685e-05
98,1.4007091522216797e-05
99,2.1108891814947128e-05
100,1.9939150661230087e-05
101,2.1724961698055267e-05
102,8.665956556797028e-06
103,1.671072095632553e-05
104,1.6883015632629395e-05
105,9.940937161445618e-06
106,1.445971429347992e-05
107,1.4272984117269516e-05
108,1.760292798280716e-05
109,1.4907214790582657e-05
110,2.1685846149921417e-05
111,2.042902633547783e-05
112,2.0837411284446716e-05
113,8.109956979751587e-06
114,1.813005656003952e-05
115,1.3975892215967178e-05
116,1.0516028851270676e-05
117,1.6781967133283615e-05
118,1.6157981008291245e-05
119,1.3331882655620575e-05
120,1.4600809663534164e-05
121,2.0042993128299713e-05
122,3.561703488230705e-05
123,2.0380131900310516e-05
124,9.043142199516296e-06
125,1.5919096767902374e-05
126,1.697475090622902e-05
127,1.0387971997261047e-05
128,1.6069039702415466e-05
129,2.0149163901805878e-05
130,1.5149824321269989e-05
131,1.4828983694314957e-05
132,1.9633211195468903e-05
133,2.11312435567379e-05
134,2.2345222532749176e-05
135,8.372124284505844e-06
136,1.4920718967914581e-05
137,1.7651822417974472e-05
138,1.1454802006483078e-05
139,1.749536022543907e-05
140,1.7363112419843674e-05
141,1.4405697584152222e-05
142,1.5412922948598862e-05
143,1.984182745218277e-05
144,2.020411193370819e-05
145,2.3168977349996567e-05
146,1.0258052498102188e-05
147,1.760711893439293e-05
148,1.9242987036705017e-05
149,1.0494142770767212e-05
150,1.8606893718242645e-05
151,1.5492085367441177e-05
152,1.5709083527326584e-05
153,1.461617648601532e-05
154,1.974916085600853e-05
155,1.9669998437166214e-05
156,2.220412716269493e-05
157,9.958632290363312e-06
158,1.613423228263855e-05
159,1.7154961824417114e-05
160,1.019984483718872e-05
161,1.726904883980751e-05
162,1.5914905816316605e-05
163,1.2948643416166306e-05
164,1.5276018530130386e-05
165,1.9690021872520447e-05
166,2.0969659090042114e-05
167,1.8738675862550735e-05
168,1.0943971574306488e-05
169,1.7079990357160568e-05
170,1.65463425219059e-05
171,9.561888873577118e-06
172,1.6306061297655106e-05
173,1.3552140444517136e-05
174,1.4174263924360275e-05
175,1.4978926628828049e-05
176,2.1303072571754456e-05
177,2.09808349609375e-05
178,2.183392643928528e-05
179,9.571202099323273e-06
180,1.7113052308559418e-05
181,1.615891233086586e-05
182,1.268833875656128e-05
183,1.623295247554779e-05
184,1.527089625597e-05
185,1.597171649336815e-05
186,1.2707896530628204e-05
187,2.0971056073904037e-05
188,1.844903454184532e-05
189,2.1620187908411026e-05
190,9.60472971200943e-06
191,1.5966128557920456e-05
192,1.3890210539102554e-05
193,1.0080169886350632e-05
194,1.655612140893936e-05
195,1.598801463842392e-05
196,1.6887206584215164e-05
197,1.744600012898445e-05
198,2.160109579563141e-05
199,2.0105857402086258e-05
200,1.987675204873085e-05
201,9.906012564897537e-06
202,1.6147270798683167e-05
203,1.835636794567108e-05
204,9.980984032154083e-06
205,1.594284549355507e-05
206,1.7272308468818665e-05
207,1.4565419405698776e-05
208,1.3033859431743622e-05
209,2.168724313378334e-05
210,1.9615981727838516e-05
211,2.2229738533496857e-05
212,8.450821042060852e-06
213,1.592794433236122e-05
214,1.4706049114465714e-05
215,1.137610524892807e-05
216,1.6121193766593933e-05
217,1.7375219613313675e-05
218,1.4685094356536865e-05
219,1.3165641576051712e-05
220,2.0590610802173615e-05
221,1.8758699297904968e-05
222,2.1527986973524094e-05
223,7.696915417909622e-06
224,1.611793413758278e-05
225,1.8387101590633392e-05
226,8.82195308804512e-06
227,1.5299301594495773e-05
228,1.5881843864917755e-05
229,1.523597165942192e-05
230,1.6805250197649002e-05
231,2.1055806428194046e-05
232,2.0540785044431686e-05
