,0
0,3.7390273064374924e-06
1,3.0079390853643417e-06
2,2.268003299832344e-06
3,5.930196493864059e-07
4,1.700129359960556e-06
5,1.525040715932846e-06
6,1.4249235391616821e-06
7,1.4158431440591812e-06
8,4.4284388422966003e-07
9,4.109460860490799e-07
10,8.234195411205292e-05
11,1.7031561583280563e-06
12,1.667998731136322e-06
13,5.417969077825546e-07
14,1.5071127563714981e-06
15,1.5688128769397736e-06
16,1.5138648450374603e-06
17,1.4549586921930313e-06
18,4.409812390804291e-07
19,5.16185536980629e-07
20,7.5171934440732e-05
21,2.1760351955890656e-06
22,1.7280690371990204e-06
23,1.6670674085617065e-06
24,5.140900611877441e-07
25,1.5690457075834274e-06
26,1.4479737728834152e-06
27,4.33996319770813e-07
28,5.511101335287094e-07
29,3.480818122625351e-07
30,8.020363748073578e-05
31,6.309710443019867e-07
32,9.611248970031738e-07
33,5.932524800300598e-07
34,6.686896085739136e-07
35,6.230548024177551e-07
36,8.130446076393127e-07
37,5.289912223815918e-07
38,5.438923835754395e-07
39,3.925524652004242e-07
40,7.113907486200333e-05
41,6.952323019504547e-07
42,5.452893674373627e-07
43,6.09084963798523e-07
44,5.182810127735138e-07
45,5.830079317092896e-07
46,5.140900611877441e-07
47,6.007030606269836e-07
48,5.019828677177429e-07
49,5.778856575489044e-07
50,7.124990224838257e-05
51,1.7257407307624817e-06
52,1.3480894267559052e-06
53,2.0032748579978943e-06
54,1.7229467630386353e-06
55,1.5781261026859283e-06
56,1.484062522649765e-06
57,4.931353032588959e-07
58,4.139728844165802e-07
59,4.847534000873566e-07
60,0.00010610418394207954
61,2.780929207801819e-06
62,9.760260581970215e-07
63,2.3120082914829254e-06
64,1.6158446669578552e-06
65,1.6926787793636322e-06
66,1.491047441959381e-06
67,7.799826562404633e-07
68,4.828907549381256e-07
69,5.862675607204437e-07
70,0.00011865701526403427
71,3.934837877750397e-06
72,1.5757977962493896e-06
73,5.084089934825897e-06
74,4.005152732133865e-06
75,1.4081597328186035e-06
76,4.156026989221573e-06
77,1.0202638804912567e-06
78,5.448237061500549e-07
79,8.98260623216629e-07
80,9.945221245288849e-05
81,2.7050264179706573e-06
82,1.6517005860805511e-06
83,1.9152648746967316e-06
84,1.4989636838436127e-06
85,5.899928510189056e-07
86,1.4547258615493774e-06
87,4.931353032588959e-07
88,4.98257577419281e-07
89,4.2980536818504333e-07
90,9.746616706252098e-05
91,1.4561228454113007e-06
92,2.828892320394516e-06
93,2.394896000623703e-06
94,1.6139820218086243e-06
95,4.521571099758148e-07
96,1.51805579662323e-06
97,5.51808625459671e-07
98,5.676411092281342e-07
99,3.9208680391311646e-07
100,7.341383025050163e-05
101,6.239861249923706e-07
102,1.7937272787094116e-06
103,5.890615284442902e-07
104,1.819804310798645e-06
105,4.810281097888947e-07
106,7.008202373981476e-07
107,5.00120222568512e-07
108,4.773028194904327e-07
109,4.209578037261963e-07
110,8.243275806307793e-05
111,9.699724614620209e-07
112,2.353917807340622e-06
113,7.469207048416138e-07
114,1.7299316823482513e-06
115,4.461035132408142e-07
116,1.4421530067920685e-06
117,1.4416873455047607e-06
118,5.164183676242828e-07
119,4.3213367462158203e-07
120,9.206356480717659e-05
121,2.8312206268310547e-06
122,2.485699951648712e-06
123,7.101334631443024e-07
124,1.8337741494178772e-06
125,5.923211574554443e-07
126,5.308538675308228e-07
127,5.83939254283905e-07
128,4.847534000873566e-07
129,4.153698682785034e-07
130,9.711086750030518e-05
131,7.273629307746887e-07
132,2.2943131625652313e-06
133,2.387911081314087e-06
134,1.6326084733009338e-06
135,5.187466740608215e-07
136,1.443084329366684e-06
137,5.098991096019745e-07
138,1.684296876192093e-06
139,4.093162715435028e-07
140,8.203694596886635e-05
141,6.28642737865448e-07
142,1.7122365534305573e-06
143,6.030313670635223e-07
144,1.6051344573497772e-06
145,6.961636245250702e-07
146,1.6116537153720856e-06
147,5.117617547512054e-07
148,5.098991096019745e-07
149,4.7404319047927856e-07
150,7.117865607142448e-05
151,6.812624633312225e-07
152,1.550186425447464e-06
153,6.109476089477539e-07
154,1.516193151473999e-06
155,5.871988832950592e-07
156,1.5567056834697723e-06
157,5.122274160385132e-07
158,4.130415618419647e-07
159,5.182810127735138e-07
160,8.508004248142242e-05
161,7.91158527135849e-07
162,2.183951437473297e-06
163,7.259659469127655e-07
164,1.955777406692505e-06
165,5.820766091346741e-07
166,1.5222467482089996e-06
167,6.51925802230835e-07
168,5.168840289115906e-07
169,5.313195288181305e-07
170,9.16067510843277e-05
171,1.1799857020378113e-06
172,1.7993152141571045e-06
173,1.5581026673316956e-06
174,1.7639249563217163e-06
175,7.008202373981476e-07
176,1.6330741345882416e-06
177,7.878988981246948e-07
178,5.192123353481293e-07
179,6.207264959812164e-07
180,7.974542677402496e-05
181,6.658956408500671e-07
182,1.667998731136322e-06
183,6.207264959812164e-07
184,1.6172416508197784e-06
185,5.420297384262085e-07
186,1.6940757632255554e-06
187,5.080364644527435e-07
188,4.4563785195350647e-07
189,5.140900611877441e-07
190,7.225712761282921e-05
191,9.122304618358612e-07
192,7.259659469127655e-07
193,1.4598481357097626e-06
194,1.6600824892520905e-06
195,6.468035280704498e-07
196,7.958151400089264e-07
197,5.587935447692871e-07
198,7.692724466323853e-07
199,5.611218512058258e-07
200,7.707113400101662e-05
201,8.977949619293213e-07
202,6.249174475669861e-07
203,1.4388933777809143e-06
204,1.5567056834697723e-06
205,2.023763954639435e-06
206,2.0060688257217407e-06
207,5.261972546577454e-07
208,4.409812390804291e-07
209,4.6798959374427795e-07
210,7.678475230932236e-05
211,9.238719940185547e-07
212,1.5748664736747742e-06
213,5.126930773258209e-07
214,1.516193151473999e-06
215,1.3709068298339844e-06
216,5.271285772323608e-07
217,5.010515451431274e-07
218,4.1816383600234985e-07
219,2.7567148208618164e-07
220,8.562486618757248e-05
221,7.771886885166168e-07
222,2.0619481801986694e-06
223,7.208436727523804e-07
224,2.3008324205875397e-06
225,7.129274308681488e-07
226,1.9022263586521149e-06
227,8.288770914077759e-07
228,4.912726581096649e-07
229,4.44706529378891e-07
230,7.259566336870193e-05
231,1.5241093933582306e-06
232,1.8547289073467255e-06
233,6.07222318649292e-07
234,1.5827827155590057e-06
235,5.452893674373627e-07
236,5.899928510189056e-07
237,5.778856575489044e-07
238,4.200264811515808e-07
239,3.8277357816696167e-07
240,8.022692054510117e-05
241,7.050111889839172e-07
242,1.8402934074401855e-06
243,9.560026228427887e-07
244,5.178153514862061e-07
