,0
0,3.63239087164402e-05
1,3.4564174711704254e-05
2,2.0510051399469376e-05
3,3.340188413858414e-05
4,2.2145919501781464e-05
5,2.4658162146806717e-05
6,3.3910851925611496e-05
7,2.3034866899251938e-05
8,2.7111265808343887e-05
9,1.1023133993148804e-05
10,1.4155171811580658e-05
11,1.9692815840244293e-05
12,1.835683360695839e-05
13,1.0054092854261398e-05
14,1.760479062795639e-05
15,1.712515950202942e-05
16,1.4462042599916458e-05
17,1.5927013009786606e-05
18,1.6137026250362396e-05
19,1.575704663991928e-05
20,8.95792618393898e-06
21,1.498684287071228e-05
22,2.3311935365200043e-05
23,2.3585278540849686e-05
24,9.885057806968689e-06
25,2.139667049050331e-05
26,3.2777898013591766e-05
27,1.7873011529445648e-05
28,2.104276791214943e-05
29,1.745019108057022e-05
30,2.0036008208990097e-05
31,1.09868124127388e-05
32,1.2341886758804321e-05
33,2.367096021771431e-05
34,1.89351849257946e-05
35,8.055008947849274e-06
36,2.5827903300523758e-05
37,1.671910285949707e-05
38,1.4555174857378006e-05
39,1.4396850019693375e-05
40,1.5186145901679993e-05
41,1.862272620201111e-05
42,1.0248739272356033e-05
43,1.7562881112098694e-05
44,2.2694934159517288e-05
45,2.1481886506080627e-05
46,9.936746209859848e-06
47,2.3247208446264267e-05
48,1.7152167856693268e-05
49,1.4650169759988785e-05
50,1.8435996025800705e-05
51,1.6503967344760895e-05
52,1.546042039990425e-05
53,8.691567927598953e-06
54,2.1101906895637512e-05
55,2.1731015294790268e-05
56,2.2446271032094955e-05
57,1.127505674958229e-05
58,1.9462313503026962e-05
59,1.621432602405548e-05
60,1.926487311720848e-05
61,1.6693025827407837e-05
62,1.479126513004303e-05
63,1.5739817172288895e-05
64,8.942093700170517e-06
65,2.2658146917819977e-05
66,2.1822750568389893e-05
67,2.2234860807657242e-05
68,1.0879244655370712e-05
69,2.324022352695465e-05
70,1.6765668988227844e-05
71,1.5859026461839676e-05
72,1.8585938960313797e-05
73,1.6061123460531235e-05
74,1.5996862202882767e-05
75,8.619856089353561e-06
76,1.7920974642038345e-05
77,2.123601734638214e-05
78,2.1819956600666046e-05
79,1.1290889233350754e-05
80,2.1293293684720993e-05
81,1.6598030924797058e-05
82,1.4324206858873367e-05
83,1.612585037946701e-05
84,1.9534025341272354e-05
85,1.628883183002472e-05
86,9.926967322826385e-06
87,1.3874378055334091e-05
88,2.450495958328247e-05
89,2.229679375886917e-05
90,9.822193533182144e-06
91,2.025999128818512e-05
92,1.7467886209487915e-05
93,1.64862722158432e-05
94,1.664087176322937e-05
95,1.4574732631444931e-05
96,1.5282072126865387e-05
97,1.1608004570007324e-05
98,1.701805740594864e-05
99,2.2837892174720764e-05
100,2.429308369755745e-05
101,1.2264121323823929e-05
102,2.2813677787780762e-05
103,1.58785842359066e-05
104,1.4842022210359573e-05
105,1.4506746083498001e-05
106,1.735985279083252e-05
107,1.4818739145994186e-05
108,1.020403578877449e-05
109,1.3832002878189087e-05
110,2.371193841099739e-05
111,2.016918733716011e-05
112,1.0768882930278778e-05
113,2.5668181478977203e-05
114,1.9350089132785797e-05
115,1.8381979316473007e-05
116,1.4907214790582657e-05
117,1.604575663805008e-05
118,2.7158763259649277e-05
119,8.181203156709671e-06
120,1.2739095836877823e-05
121,2.1304935216903687e-05
122,3.171991556882858e-05
123,6.354879587888718e-06
124,2.0085368305444717e-05
125,1.6330741345882416e-05
126,2.1814368665218353e-05
127,1.6381964087486267e-05
128,1.4941208064556122e-05
129,1.5396159142255783e-05
130,1.0130926966667175e-05
131,1.5994999557733536e-05
132,3.533298149704933e-05
133,2.088164910674095e-05
134,7.466878741979599e-06
135,2.09086574614048e-05
136,1.5609897673130035e-05
137,1.840619370341301e-05
138,1.8203165382146835e-05
139,1.760292798280716e-05
140,1.3472046703100204e-05
141,1.062033697962761e-05
142,1.8005259335041046e-05
143,2.2014137357473373e-05
144,2.0675361156463623e-05
145,6.898771971464157e-06
146,2.060411497950554e-05
147,1.4856923371553421e-05
148,1.38808973133564e-05
149,1.4363788068294525e-05
150,4.9933791160583496e-05
151,1.6421079635620117e-05
152,1.1554919183254242e-05
153,1.7920974642038345e-05
154,2.0984094589948654e-05
155,2.156198024749756e-05
156,8.534174412488937e-06
157,2.033403143286705e-05
158,2.1486077457666397e-05
159,1.6337726265192032e-05
160,1.7492100596427917e-05
161,1.6462989151477814e-05
162,1.8802937120199203e-05
163,8.926726877689362e-06
164,1.7606187611818314e-05
165,2.2886786609888077e-05
166,2.278713509440422e-05
167,9.803101420402527e-06
168,1.9807834178209305e-05
169,2.089003100991249e-05
170,2.446584403514862e-05
171,1.5775207430124283e-05
172,1.5974976122379303e-05
173,1.3777054846286774e-05
174,9.570270776748657e-06
175,2.1558254957199097e-05
176,2.001691609621048e-05
177,2.2835098206996918e-05
178,1.069018617272377e-05
179,2.1765008568763733e-05
180,2.2036023437976837e-05
181,1.522572711110115e-05
182,1.5069730579853058e-05
183,1.3447832316160202e-05
184,1.5032943338155746e-05
185,8.380040526390076e-06
186,1.3883691281080246e-05
187,2.1464191377162933e-05
188,2.0003877580165863e-05
