,0
0,6.849411875009537e-06
1,7.320195436477661e-07
2,2.4978071451187134e-06
3,2.207234501838684e-06
4,1.5730038285255432e-06
5,1.6521662473678589e-06
6,1.4007091522216797e-06
7,1.3150274753570557e-06
8,5.182810127735138e-07
9,5.830079317092896e-07
10,9.826803579926491e-05
11,9.010545909404755e-07
12,3.0049122869968414e-06
13,2.886168658733368e-06
14,1.7993152141571045e-06
15,5.1083043217659e-07
16,1.3271346688270569e-06
17,1.3811513781547546e-06
18,5.210749804973602e-07
19,5.019828677177429e-07
20,0.00012288615107536316
21,1.3587996363639832e-06
22,2.005603164434433e-06
23,2.7441419661045074e-06
24,1.0980293154716492e-06
25,1.3369135558605194e-06
26,1.2130476534366608e-06
27,1.2260861694812775e-06
28,1.0291114449501038e-06
29,1.1352822184562683e-06
30,9.928084909915924e-05
31,1.6191042959690094e-06
32,6.048940122127533e-07
33,2.5867484509944916e-06
34,1.5618279576301575e-06
35,6.961636245250702e-07
36,5.73229044675827e-07
37,1.5818513929843903e-06
38,5.997717380523682e-07
39,4.89410012960434e-07
40,9.433040395379066e-05
41,1.7802231013774872e-06
42,8.307397365570068e-07
43,2.9532238841056824e-06
44,1.9329600036144257e-06
45,6.51925802230835e-07
46,1.8123537302017212e-06
47,6.058253347873688e-07
48,4.931353032588959e-07
49,5.178153514862061e-07
50,8.158991113305092e-05
51,7.566995918750763e-07
52,5.890615284442902e-07
53,2.210959792137146e-06
54,5.41098415851593e-07
55,5.052424967288971e-07
56,5.927868187427521e-07
57,6.295740604400635e-07
58,4.4796615839004517e-07
59,4.330649971961975e-07
60,0.00010001705959439278
61,7.67875462770462e-07
62,1.819804310798645e-06
63,2.9960647225379944e-06
64,1.80024653673172e-06
65,5.918554961681366e-07
66,5.890615284442902e-07
67,1.5418045222759247e-06
68,6.011687219142914e-07
69,7.338821887969971e-07
70,0.00011020340025424957
71,1.8370337784290314e-06
72,1.9869767129421234e-06
73,2.75392085313797e-06
74,5.522742867469788e-07
75,6.682239472866058e-07
76,8.293427526950836e-07
77,5.438923835754395e-07
78,4.470348358154297e-07
79,5.140900611877441e-07
80,9.191920980811119e-05
81,7.706694304943085e-07
82,6.416812539100647e-07
83,6.891787052154541e-07
84,4.85684722661972e-07
85,6.747432053089142e-07
86,6.044283509254456e-07
87,5.988404154777527e-07
88,5.387701094150543e-07
89,5.00120222568512e-07
90,0.00010726321488618851
91,7.422640919685364e-07
92,5.471520125865936e-07
93,2.7241185307502747e-06
94,1.701992005109787e-06
95,1.6558915376663208e-06
96,6.770715117454529e-07
97,1.8873251974582672e-06
98,5.671754479408264e-07
99,5.806796252727509e-07
100,9.28887166082859e-05
101,7.762573659420013e-07
102,7.441267371177673e-07
103,1.7248094081878662e-06
104,1.7760321497917175e-06
105,1.7560087144374847e-06
106,5.681067705154419e-07
107,1.7290003597736359e-06
108,5.51808625459671e-07
109,4.838220775127411e-07
110,8.307769894599915e-05
111,8.451752364635468e-07
112,4.7124922275543213e-07
113,1.8421560525894165e-06
114,4.391185939311981e-07
115,6.16069883108139e-07
116,6.468035280704498e-07
117,5.778856575489044e-07
118,6.26780092716217e-07
119,5.024485290050507e-07
120,9.76179726421833e-05
121,2.893153578042984e-06
122,6.230548024177551e-07
123,1.911073923110962e-06
124,1.6326084733009338e-06
125,2.3711472749710083e-06
126,5.401670932769775e-07
127,5.611218512058258e-07
128,5.969777703285217e-07
129,5.299225449562073e-07
130,8.673081174492836e-05
131,1.987908035516739e-06
132,1.9622966647148132e-06
133,1.6600824892520905e-06
134,4.721805453300476e-07
135,1.7010606825351715e-06
136,8.419156074523926e-07
137,5.471520125865936e-07
138,5.392357707023621e-07
139,3.7671998143196106e-07
140,8.970871567726135e-05
141,6.859190762042999e-07
142,4.637986421585083e-07
143,2.0330771803855896e-06
144,8.391216397285461e-07
145,9.569339454174042e-07
146,5.713663995265961e-07
147,5.830079317092896e-07
148,5.112960934638977e-07
149,5.727633833885193e-07
150,9.8417978733778e-05
151,1.8421560525894165e-06
152,2.1685846149921417e-06
153,2.3688189685344696e-06
154,5.359761416912079e-07
155,1.6633421182632446e-06
156,7.827766239643097e-07
157,6.100162863731384e-07
158,1.8728896975517273e-06
159,5.788169801235199e-07
160,9.483704343438148e-05
161,1.6889534890651703e-06
162,1.7480924725532532e-06
163,2.0102597773075104e-06
164,6.039626896381378e-07
165,1.7480924725532532e-06
166,5.527399480342865e-07
167,1.4971010386943817e-06
168,5.657784640789032e-07
169,6.598420441150665e-07
170,8.688122034072876e-05
171,6.528571248054504e-07
172,6.09084963798523e-07
173,1.9888393580913544e-06
174,5.527399480342865e-07
175,6.980262696743011e-07
176,6.509944796562195e-07
177,6.100162863731384e-07
178,7.660128176212311e-07
179,4.209578037261963e-07
180,0.0001051388680934906
181,2.474989742040634e-06
182,1.666136085987091e-06
183,1.8728896975517273e-06
184,5.592592060565948e-07
185,1.9050203263759613e-06
186,5.08967787027359e-07
187,5.420297384262085e-07
188,4.2188912630081177e-07
189,4.828907549381256e-07
190,0.00010994309559464455
191,2.469867467880249e-06
192,2.237968146800995e-06
193,2.064742147922516e-06
194,6.123445928096771e-07
195,1.6051344573497772e-06
196,5.438923835754395e-07
197,5.052424967288971e-07
198,5.583278834819794e-07
199,5.51808625459671e-07
200,9.469408541917801e-05
201,3.06079164147377e-06
202,4.004687070846558e-06
203,6.496906280517578e-06
204,0.00010479101911187172
205,5.592126399278641e-06
206,1.1292286217212677e-06
207,1.4486722648143768e-06
208,1.1906959116458893e-06
209,1.152046024799347e-06
210,9.422469884157181e-05
211,7.981434464454651e-07
212,2.0498409867286682e-06
213,2.7869828045368195e-06
214,4.987232387065887e-07
215,1.7560087144374847e-06
216,6.919726729393005e-07
217,1.8700957298278809e-06
218,4.777684807777405e-07
219,4.6100467443466187e-07
220,9.67998057603836e-05
221,6.388872861862183e-07
222,5.075708031654358e-07
223,2.682674676179886e-06
224,4.98257577419281e-07
225,1.8049031496047974e-06
226,5.452893674373627e-07
227,1.4319084584712982e-06
228,4.959292709827423e-07
229,6.528571248054504e-07
230,9.228615090250969e-05
231,8.149072527885437e-07
232,6.570480763912201e-07
233,2.0242296159267426e-06
234,5.681067705154419e-07
235,6.002373993396759e-07
236,4.931353032588959e-07
237,5.909241735935211e-07
238,5.047768354415894e-07
239,4.3725594878196716e-07
240,0.0001013181172311306
241,6.807968020439148e-07
242,5.550682544708252e-07
243,2.2258609533309937e-06
244,1.5990808606147766e-06
245,1.6773119568824768e-06
246,4.670582711696625e-07
247,8.67992639541626e-07
248,5.811452865600586e-07
249,5.550682544708252e-07
250,0.00010152626782655716
251,6.388872861862183e-07
252,5.913898348808289e-07
253,2.6850029826164246e-06
254,1.5301629900932312e-06
255,1.700129359960556e-06
256,5.941838026046753e-07
257,5.699694156646729e-07
258,5.462206900119781e-07
259,5.32250851392746e-07
260,9.86405648291111e-05
261,9.44826751947403e-07
262,5.811452865600586e-07
263,1.661013811826706e-06
264,4.6892091631889343e-07
265,5.760230123996735e-07
266,5.07105141878128e-07
267,5.676411092281342e-07
268,4.591420292854309e-07
269,5.569308996200562e-07
270,9.948015213012695e-05
271,1.9059516489505768e-06
272,1.6577541828155518e-06
273,2.6943162083625793e-06
274,3.9814040064811707e-07
275,1.7979182302951813e-06
276,5.452893674373627e-07
277,1.1920928955078125e-06
278,4.880130290985107e-07
279,5.248002707958221e-07
280,8.495524525642395e-05
281,2.0079314708709717e-06
282,1.8668361008167267e-06
283,2.034008502960205e-06
284,5.508773028850555e-07
285,1.7657876014709473e-06
286,5.587935447692871e-07
287,5.462206900119781e-07
288,5.718320608139038e-07
289,4.4284388422966003e-07
290,8.903210982680321e-05
291,7.050111889839172e-07
292,6.123445928096771e-07
293,1.7629936337471008e-06
294,4.670582711696625e-07
295,1.6852281987667084e-06
296,7.362104952335358e-07
297,6.300397217273712e-07
298,5.327165126800537e-07
299,5.490146577358246e-07
300,9.972695261240005e-05
301,7.008202373981476e-07
302,5.532056093215942e-07
303,2.353917807340622e-06
304,6.319023668766022e-07
305,7.101334631443024e-07
306,5.811452865600586e-07
307,1.7350539565086365e-06
308,6.123445928096771e-07
309,4.791654646396637e-07
310,0.00010331394150853157
311,2.500135451555252e-06
312,2.257060259580612e-06
313,2.3497268557548523e-06
314,5.820766091346741e-07
315,5.969777703285217e-07
316,5.098991096019745e-07
317,1.528766006231308e-06
318,4.172325134277344e-07
319,5.983747541904449e-07
320,8.58549028635025e-05
321,6.058253347873688e-07
322,1.601874828338623e-06
323,2.61794775724411e-06
324,4.6193599700927734e-07
325,6.118789315223694e-07
326,5.527399480342865e-07
327,2.0060688257217407e-06
328,5.830079317092896e-07
329,4.577450454235077e-07
330,0.00010125292465090752
331,7.511116564273834e-07
332,1.8039718270301819e-06
333,2.702232450246811e-06
334,5.387701094150543e-07
335,6.901100277900696e-07
336,6.41215592622757e-07
337,1.5916302800178528e-06
338,4.959292709827423e-07
339,5.406327545642853e-07
340,9.382190182805061e-05
341,1.834239810705185e-06
342,5.820766091346741e-07
343,2.5588087737560272e-06
344,1.2740492820739746e-06
345,1.4528632164001465e-06
346,5.271285772323608e-07
347,1.816079020500183e-06
348,4.1816383600234985e-07
349,7.520429790019989e-07
350,8.432194590568542e-05
351,6.272457540035248e-07
352,7.492490112781525e-07
353,2.1168962121009827e-06
354,1.4379620552062988e-06
355,5.648471415042877e-07
356,5.592592060565948e-07
357,5.788169801235199e-07
358,5.769543349742889e-07
359,5.690380930900574e-07
360,8.760392665863037e-05
361,8.200295269489288e-07
362,6.118789315223694e-07
363,2.4009495973587036e-06
364,6.370246410369873e-07
365,8.600763976573944e-07
366,6.118789315223694e-07
367,8.521601557731628e-07
368,5.51808625459671e-07
369,5.210749804973602e-07
370,9.206682443618774e-05
371,2.0689330995082855e-06
372,5.317851901054382e-07
373,2.414919435977936e-06
374,1.4668330550193787e-06
