,0
0,6.507104262709618e-05
1,6.651412695646286e-05
2,5.1391078159213066e-05
3,1.881900243461132e-05
4,3.2989075407385826e-05
5,4.8737041652202606e-05
6,4.742504097521305e-05
7,6.000697612762451e-05
8,3.9048027247190475e-05
9,4.079006612300873e-05
10,2.8647948056459427e-05
11,1.9903993234038353e-05
12,2.232310362160206e-05
13,2.3165950551629066e-05
14,1.0179122909903526e-05
15,1.361500471830368e-05
16,1.974613405764103e-05
17,1.8399907276034355e-05
18,1.6244128346443176e-05
19,2.0129140466451645e-05
20,1.791701652109623e-05
21,1.701503060758114e-05
22,2.285209484398365e-05
23,2.3869099095463753e-05
24,2.0990148186683655e-05
25,1.5869969502091408e-05
26,2.0073959603905678e-05
27,2.1489104256033897e-05
28,2.1144049242138863e-05
29,1.8967781215906143e-05
30,1.968187279999256e-05
31,1.323106698691845e-05
32,1.6022939234972e-05
33,3.022514283657074e-05
34,1.96720939129591e-05
35,2.3072119802236557e-05
36,2.2209016606211662e-05
37,1.2514879927039146e-05
38,1.9440893083810806e-05
39,2.0357081666588783e-05
40,1.8666964024305344e-05
41,1.8110964447259903e-05
42,1.570885069668293e-05
43,1.6920967027544975e-05
44,2.2377120330929756e-05
45,2.2317981347441673e-05
46,3.468501381576061e-05
47,9.467126801609993e-06
48,9.377952665090561e-06
49,1.9345898181200027e-05
50,2.243509516119957e-05
51,1.9091879948973656e-05
52,2.0415056496858597e-05
53,1.6360078006982803e-05
54,1.378101296722889e-05
55,2.4484936147928238e-05
56,2.1066050976514816e-05
57,2.460111863911152e-05
58,1.03008933365345e-05
59,1.3526994735002518e-05
60,1.701805740594864e-05
61,2.2131018340587616e-05
62,1.9470928236842155e-05
63,1.629907637834549e-05
64,1.409393735229969e-05
65,1.546088606119156e-05
66,2.4517066776752472e-05
67,2.657296136021614e-05
68,2.63990368694067e-05
69,1.3225944712758064e-05
70,1.3156095519661903e-05
71,1.9385945051908493e-05
72,1.881900243461132e-05
73,1.8561026081442833e-05
74,1.4432007446885109e-05
75,2.2975029423832893e-05
76,1.605902798473835e-05
77,2.5901012122631073e-05
78,1.8778955563902855e-05
79,2.5475164875388145e-05
80,1.2309988960623741e-05
81,1.2371223419904709e-05
82,2.163904719054699e-05
83,1.694704405963421e-05
84,2.0893989130854607e-05
85,1.775403507053852e-05
86,1.4116056263446808e-05
87,1.7822952941060066e-05
88,2.3995991796255112e-05
89,2.0114006474614143e-05
90,2.2622989490628242e-05
91,1.285388134419918e-05
92,1.2251082807779312e-05
93,1.8094899132847786e-05
94,1.6726087778806686e-05
95,2.205302007496357e-05
96,2.184184268116951e-05
97,2.0413193851709366e-05
98,1.800316385924816e-05
99,2.9623042792081833e-05
100,2.0330073311924934e-05
101,2.6437221094965935e-05
102,1.3869954273104668e-05
103,1.1564930900931358e-05
104,1.951516605913639e-05
105,1.4995923265814781e-05
106,2.501090057194233e-05
107,1.5679048374295235e-05
108,2.0490027964115143e-05
109,2.1693063899874687e-05
110,2.2375956177711487e-05
111,2.2491905838251114e-05
112,2.6027904823422432e-05
113,1.0798918083310127e-05
114,1.292605884373188e-05
115,1.6526086255908012e-05
116,1.7873011529445648e-05
117,1.7224112525582314e-05
118,1.841108314692974e-05
119,1.67719554156065e-05
120,1.6486039385199547e-05
121,2.2419961169362068e-05
122,2.9177870601415634e-05
123,2.4955952540040016e-05
124,1.0459916666150093e-05
125,1.0664109140634537e-05
126,2.0056962966918945e-05
127,1.768418587744236e-05
128,1.9209925085306168e-05
129,1.4761928468942642e-05
130,1.577986404299736e-05
131,1.6660895198583603e-05
132,2.426793798804283e-05
133,2.121902070939541e-05
134,2.0940089598298073e-05
135,1.3322103768587112e-05
136,1.1645955964922905e-05
137,1.557404175400734e-05
138,1.922808587551117e-05
139,2.0392006263136864e-05
140,1.6590813174843788e-05
141,1.4374963939189911e-05
142,1.482199877500534e-05
143,3.4558819606900215e-05
144,2.2727996110916138e-05
145,2.0592939108610153e-05
146,9.553972631692886e-06
147,1.1157942935824394e-05
148,1.978105865418911e-05
149,2.3333821445703506e-05
150,2.0404113456606865e-05
151,1.757894642651081e-05
152,1.7233891412615776e-05
153,1.6744015738368034e-05
154,2.1330080926418304e-05
155,2.1409010514616966e-05
156,2.3833010345697403e-05
157,1.2294156476855278e-05
158,1.188693568110466e-05
159,2.478295937180519e-05
160,2.161809243261814e-05
161,1.74038577824831e-05
162,2.09929421544075e-05
163,1.4425022527575493e-05
164,1.3974029570817947e-05
165,2.5928951799869537e-05
166,2.9333867132663727e-05
167,2.3644184693694115e-05
168,1.0455958545207977e-05
169,7.766997441649437e-06
170,2.1034153178334236e-05
171,2.1750107407569885e-05
172,1.82189978659153e-05
173,1.8488848581910133e-05
174,1.4015007764101028e-05
175,2.122507430613041e-05
176,2.8927810490131378e-05
177,2.085999585688114e-05
178,2.6230933144688606e-05
179,1.0316958650946617e-05
180,9.499024599790573e-06
181,2.4439068511128426e-05
182,1.7734011635184288e-05
183,1.7934013158082962e-05
184,1.9615981727838516e-05
185,1.7781974747776985e-05
186,1.9055092707276344e-05
187,2.734013833105564e-05
188,1.9514933228492737e-05
189,2.801511436700821e-05
190,1.1601019650697708e-05
191,1.5394063666462898e-05
192,3.603403456509113e-05
193,2.002483233809471e-05
194,1.7682090401649475e-05
195,1.3803131878376007e-05
196,1.4786142855882645e-05
197,1.7889076843857765e-05
198,2.382509410381317e-05
199,3.1356001272797585e-05
200,2.1259067580103874e-05
201,1.0711140930652618e-05
202,9.350012987852097e-06
203,1.4937017112970352e-05
204,1.879199407994747e-05
205,1.6744015738368034e-05
206,1.924019306898117e-05
207,1.667509786784649e-05
208,1.5296973288059235e-05
209,2.088700421154499e-05
210,2.445187419652939e-05
211,2.2377120330929756e-05
212,1.071300357580185e-05
213,1.285085454583168e-05
214,2.0388979464769363e-05
215,1.996103674173355e-05
216,1.9304919987916946e-05
217,2.0144041627645493e-05
218,1.548207364976406e-05
219,2.020411193370819e-05
220,2.3822998628020287e-05
221,2.3551983758807182e-05
222,2.233707346022129e-05
223,1.2006144970655441e-05
224,1.0263873264193535e-05
225,1.901201903820038e-05
226,1.7009908333420753e-05
227,1.5450874343514442e-05
228,2.5623012334108353e-05
229,1.7012003809213638e-05
230,1.6159145161509514e-05
231,2.9691960662603378e-05
232,2.8616050258278847e-05
233,2.427981235086918e-05
234,1.0792864486575127e-05
235,1.46450474858284e-05
236,1.9941013306379318e-05
237,1.7552170902490616e-05
238,1.8066028133034706e-05
239,2.0898878574371338e-05
240,1.382199116051197e-05
241,1.6718171536922455e-05
242,2.3477012291550636e-05
243,2.2144988179206848e-05
244,2.2399937734007835e-05
245,1.5946105122566223e-05
246,1.4506978914141655e-05
247,1.8606893718242645e-05
248,1.74820888787508e-05
249,1.957477070391178e-05
250,1.7085112631320953e-05
251,1.551094464957714e-05
252,1.5031779184937477e-05
253,3.4528085961937904e-05
254,2.2247200831770897e-05
255,2.241414040327072e-05
256,1.0317889973521233e-05
257,1.1490890756249428e-05
258,2.2916123270988464e-05
259,1.889909617602825e-05
260,1.9185012206435204e-05
261,2.0679086446762085e-05
262,1.5382887795567513e-05
263,2.1218089386820793e-05
264,2.3928936570882797e-05
265,2.722395583987236e-05
266,3.177998587489128e-05
267,1.1613825336098671e-05
268,9.245006367564201e-06
269,1.593818888068199e-05
270,1.6700010746717453e-05
271,1.7035985365509987e-05
272,2.083694562315941e-05
273,1.857709139585495e-05
274,1.5933997929096222e-05
275,2.720416523516178e-05
276,2.1398067474365234e-05
277,2.2472115233540535e-05
278,9.811017662286758e-06
279,1.257588155567646e-05
280,1.8385937437415123e-05
281,2.1634157747030258e-05
282,2.0627863705158234e-05
283,1.5102094039320946e-05
284,1.5709083527326584e-05
285,1.5456927940249443e-05
286,2.1075131371617317e-05
287,2.9392074793577194e-05
288,2.0090024918317795e-05
289,1.0525109246373177e-05
290,1.329183578491211e-05
291,2.1612970158457756e-05
292,1.8722843378782272e-05
293,1.6703037545084953e-05
294,1.3866927474737167e-05
295,1.5625031664967537e-05
296,1.548207364976406e-05
297,2.2270018234848976e-05
298,2.5788089260458946e-05
299,2.3602042347192764e-05
300,1.754704862833023e-05
301,7.643131539225578e-06
302,3.130803816020489e-05
303,1.85410026460886e-05
304,2.0137988030910492e-05
305,1.760595478117466e-05
306,1.3065990060567856e-05
307,1.531303860247135e-05
308,2.5795074179768562e-05
309,2.4997862055897713e-05
310,2.7256086468696594e-05
311,1.864996738731861e-05
312,1.03791244328022e-05
313,1.9209925085306168e-05
314,1.572095789015293e-05
315,1.984299160540104e-05
316,1.6892096027731895e-05
317,1.5262048691511154e-05
318,1.529301516711712e-05
319,2.1378975361585617e-05
320,2.077990211546421e-05
321,2.1652085706591606e-05
322,9.6180010586977e-06
323,9.492039680480957e-06
324,1.773703843355179e-05
325,2.0527979359030724e-05
326,1.9571976736187935e-05
327,1.5184981748461723e-05
328,1.1447817087173462e-05
329,2.405000850558281e-05
330,2.8704991564154625e-05
331,2.4352921172976494e-05
332,2.5219982489943504e-05
333,1.0186107829213142e-05
334,1.179007813334465e-05
335,2.046511508524418e-05
336,2.0821113139390945e-05
337,1.9002007320523262e-05
338,1.6462989151477814e-05
339,1.5424098819494247e-05
340,1.6445061191916466e-05
341,2.7055153623223305e-05
342,2.7368776500225067e-05
343,2.3234868422150612e-05
344,1.2432923540472984e-05
345,1.2631993740797043e-05
346,2.202298492193222e-05
347,1.6825972124934196e-05
348,1.6923993825912476e-05
349,1.772097311913967e-05
350,1.6717007383704185e-05
351,2.109818160533905e-05
352,2.201204188168049e-05
353,2.5134999305009842e-05
354,2.3034866899251938e-05
