,0
0,5.30267134308815e-05
1,3.823917359113693e-05
2,1.475401222705841e-05
3,4.592305049300194e-05
4,3.2578129321336746e-05
5,7.432419806718826e-06
6,1.5298835933208466e-05
7,3.499304875731468e-05
8,5.7211145758628845e-06
9,1.8201302736997604e-05
10,1.2828968465328217e-05
11,2.3837201297283173e-05
12,3.913603723049164e-05
13,4.764692857861519e-05
14,2.533523365855217e-05
15,6.660819053649902e-06
16,1.706322655081749e-05
17,3.728130832314491e-05
18,2.5505200028419495e-05
19,1.1867843568325043e-05
20,1.5830155462026596e-05
21,3.354111686348915e-05
22,3.503914922475815e-05
23,1.0154210031032562e-05
24,2.0810868591070175e-05
25,2.2641848772764206e-05
26,8.116941899061203e-06
27,9.449198842048645e-06
28,5.585141479969025e-06
29,3.2498501241207123e-06
30,1.13658607006073e-05
31,8.272938430309296e-06
32,1.25933438539505e-05
33,5.644327029585838e-05
34,3.31290066242218e-05
35,3.251573070883751e-05
36,2.395082265138626e-05
37,2.3579224944114685e-05
38,1.4693941920995712e-05
39,1.449882984161377e-05
40,7.552094757556915e-06
41,1.5174970030784607e-05
42,4.16547991335392e-05
43,6.921589374542236e-06
44,3.8356054574251175e-05
45,3.4600961953401566e-05
46,2.0648818463087082e-05
47,2.8059817850589752e-05
48,1.3354234397411346e-05
49,2.5379005819559097e-05
50,4.181172698736191e-06
51,1.77919864654541e-05
52,1.1316966265439987e-05
53,1.8169637769460678e-05
54,2.503860741853714e-06
55,3.485800698399544e-05
56,1.0524876415729523e-05
57,3.001885488629341e-05
58,3.272294998168945e-05
59,3.837002441287041e-05
60,1.1620111763477325e-05
61,2.6241876184940338e-05
62,7.085967808961868e-06
63,3.525707870721817e-05
64,2.202112227678299e-05
65,1.5595927834510803e-05
66,3.5023316740989685e-05
67,3.177998587489128e-05
68,1.7041806131601334e-05
69,2.1650921553373337e-05
70,2.3911241441965103e-05
71,2.3439060896635056e-05
72,3.1960196793079376e-05
73,2.360902726650238e-05
74,3.1692907214164734e-06
75,9.723007678985596e-06
76,6.217975169420242e-06
77,5.775643512606621e-05
78,2.7250032871961594e-05
79,4.7050416469573975e-06
80,4.106760025024414e-05
81,1.7622951418161392e-05
82,2.545490860939026e-05
83,2.969987690448761e-06
84,2.5177840143442154e-05
