,0
0,5.876785144209862e-05
1,3.80626879632473e-05
2,2.6063993573188782e-05
3,2.6609282940626144e-05
4,3.364402800798416e-05
5,1.532025635242462e-05
6,1.5764962881803513e-05
7,2.5310087949037552e-05
8,2.055894583463669e-06
9,2.312939614057541e-06
10,2.293987199664116e-05
11,2.5018583983182907e-05
12,3.835093230009079e-05
13,3.288686275482178e-05
14,1.6287900507450104e-05
15,2.7725007385015488e-05
16,2.4707987904548645e-05
17,2.1099112927913666e-05
18,4.1633378714323044e-05
19,1.2038275599479675e-05
20,2.2518914192914963e-05
21,3.348803147673607e-05
22,2.4019740521907806e-05
23,1.2998934835195541e-05
24,1.1818017810583115e-05
25,1.1725816875696182e-05
26,1.1868774890899658e-05
27,1.123826950788498e-05
28,7.815193384885788e-06
29,2.262648195028305e-06
30,1.4490913599729538e-05
31,1.2508127838373184e-05
32,5.140900611877441e-06
33,4.718778654932976e-05
34,2.6945024728775024e-05
35,3.468198701739311e-05
36,3.370875492691994e-05
37,1.3835262507200241e-05
38,2.303626388311386e-05
39,1.9931234419345856e-05
40,4.469882696866989e-06
41,1.9723083823919296e-05
42,2.445792779326439e-05
43,3.6940909922122955e-06
44,4.4864602386951447e-05
45,9.15583223104477e-06
46,7.676426321268082e-06
47,4.0378887206315994e-05
48,2.3378990590572357e-05
49,2.1866988390684128e-05
50,2.2205058485269547e-05
51,1.4925841242074966e-05
52,1.354282721877098e-05
53,1.4370772987604141e-05
54,2.5145243853330612e-05
55,5.374103784561157e-05
56,1.9376631826162338e-05
57,1.4127232134342194e-05
58,1.871492713689804e-05
59,1.863297075033188e-05
60,3.3224932849407196e-05
61,1.8948689103126526e-05
62,4.14019450545311e-06
63,1.878105103969574e-05
64,3.476906567811966e-05
65,3.849156200885773e-06
66,5.0712842494249344e-05
67,4.1649676859378815e-05
68,6.425194442272186e-06
69,1.57039612531662e-05
70,1.917220652103424e-05
71,9.356066584587097e-06
72,2.516200765967369e-05
73,3.436580300331116e-05
74,4.37367707490921e-05
75,2.3385975509881973e-05
76,1.3529788702726364e-05
77,1.636100932955742e-05
78,1.9378960132598877e-05
79,1.604529097676277e-05
80,1.3795215636491776e-05
81,5.4729171097278595e-06
82,3.5762786865234375e-06
83,1.210113987326622e-05
84,4.319939762353897e-06
85,6.454996764659882e-06
86,5.492009222507477e-06
87,1.2358184903860092e-05
88,3.090826794505119e-05
89,1.357588917016983e-05
90,1.3307668268680573e-05
91,4.458241164684296e-06
92,6.788410246372223e-06
93,1.598196104168892e-05
94,5.600973963737488e-06
95,4.045665264129639e-06
96,5.598645657300949e-06
97,5.59026375412941e-06
98,1.2822914868593216e-05
99,2.8709881007671356e-05
100,1.3465061783790588e-05
101,1.8647871911525726e-05
102,1.3570766896009445e-05
103,1.8582213670015335e-05
104,8.563045412302017e-06
105,9.485054761171341e-06
106,1.4557968825101852e-05
107,4.447996616363525e-06
108,7.5087882578372955e-06
109,1.8691644072532654e-06
110,2.9389280825853348e-05
111,1.3189855962991714e-05
112,1.637311652302742e-05
113,1.5603378415107727e-05
114,7.311813533306122e-06
115,1.2881122529506683e-05
116,8.811242878437042e-06
117,3.3392105251550674e-05
118,6.916932761669159e-06
119,1.887790858745575e-06
120,2.1569430828094482e-06
121,2.0674895495176315e-05
122,1.4867633581161499e-05
123,9.819865226745605e-06
124,1.3696961104869843e-05
125,1.3703946024179459e-05
126,7.587950676679611e-06
127,7.692724466323853e-06
128,1.2903474271297455e-06
129,1.980923116207123e-06
130,1.4041084796190262e-05
131,1.444714143872261e-05
132,3.433087840676308e-05
133,1.8049031496047974e-05
134,1.508789137005806e-05
135,1.5334226191043854e-05
136,5.309004336595535e-06
137,1.508789137005806e-05
138,1.3567041605710983e-05
